symbol,WT1,p531,p53CAS1,p53RAS1,WT2,p532,p53CAS2,p53RAS2
Ptchd2,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Foxr2,0.0,1.0,0.0,0.42748,0.0,0.00564,0.0,0.0
Olfr206,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Tprg,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Gm11541,0.0,1.0,0.0,0.87326,0.0,0.00564,0.0,0.0
Synpr,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Pramef6,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Ankk1,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Cxcl17,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Nkx1-2,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Olfr986,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Gpr26,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Hoxd9,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Gm13084,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Mylk4,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
2310057J18Rik,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Lep,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Wnt8a,0.0,1.0,0.53289,0.0,0.0,0.00564,0.0,0.0
Gm13083,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Olah,0.0,1.0,0.0,0.20449,0.0,0.00564,0.0,0.0
Acbd7,0.0,1.0,0.0,0.42748,0.0,0.00564,0.0,0.0
Hoxc9,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Gm16390,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.54527
4930557A04Rik,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Trim40,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Fbxw13,0.0,1.0,0.0,0.20449,0.0,0.00564,0.0,0.0
Lrrc38,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Spata20,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Efcab6,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Vmn2r18,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Asb12,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Olfr1132,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Vwc2l,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Pax2,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Cryba1,0.0,1.0,0.53289,0.20449,0.0,0.00564,0.0,0.0
Susd5,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Zp3r,0.0,1.0,0.53289,0.0,0.0,0.00564,0.0,0.54527
2410137M14Rik,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Pcdh10,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Otop2,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Rhox4a,0.0,1.0,0.0,0.0,0.0,0.00564,0.0,0.0
Fat2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ttc34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jph4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hils1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C130079G13Rik,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adad2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hes3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr980,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Odf3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fgf3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Col19a1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sva,0.0,0.0,0.0,0.39562,0.0,0.0,0.0,1.0
Lhfpl1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.67358
Tekt1,0.0,0.7786,0.0,1.0,0.0,0.00441,0.0,0.0
4930505A04Rik,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ren2,0.0,0.02192,0.0,1.0,0.0,0.80498,0.0,0.0
Olfr94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pgr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Muc5b,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fcrl6,0.0,0.0,0.93567,1.0,0.0,0.0,0.0,0.93837
Krt5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Klk1b22,0.0,0.0,0.0,0.36755,0.0,0.0,1.0,0.0
Olfr315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1700017D01Rik,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Slc5a12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gm5934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hhatl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98005
Sult2a6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Zdhhc25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gm4297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Best3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Itln1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Defb23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4930404A10Rik,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Htr2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Art1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Slc10a4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Olfr1446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zfp957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
