atID,logFC,P-value,FDR,type,key
AT1G20860,6.31,7.12768E-06,0.003470499,-Pi_ph6/+Pi_pH6,wt
AT2G08820,6.17,1.07074E-08,9.95299E-06,-Pi_ph6/+Pi_pH6,wt
AT3G09922,5.03,7.68572E-21,2.24533E-17,-Pi_ph6/+Pi_pH6,wt
AT5G20150,4.79,5.638E-37,3.84324E-33,-Pi_ph6/+Pi_pH6,wt
AT3G17790,4.75,3.3439E-40,3.41913E-36,-Pi_ph6/+Pi_pH6,wt
AT1G08165,4.44,4.11178E-10,4.67144E-07,-Pi_ph6/+Pi_pH6,wt
AT5G20790,3.80,2.48748E-17,5.65211E-14,-Pi_ph6/+Pi_pH6,wt
AT1G17710,3.65,7.17546E-07,0.000431583,-Pi_ph6/+Pi_pH6,wt
AT5G43370,3.60,5.10264E-19,1.30436E-15,-Pi_ph6/+Pi_pH6,wt
AT5G53048,3.59,1.64442E-11,2.5868E-08,-Pi_ph6/+Pi_pH6,wt
AT3G47420,3.51,1.68311E-27,8.60488E-24,-Pi_ph6/+Pi_pH6,wt
AT4G01060,3.48,1.16512E-06,0.000663179,-Pi_ph6/+Pi_pH6,wt
AT2G30540,3.30,0.000159661,0.043534148,-Pi_ph6/+Pi_pH6,wt
AT3G02040,3.13,1.48198E-47,3.03065E-43,-Pi_ph6/+Pi_pH6,wt
AT5G03545,2.92,4.61366E-23,1.57249E-19,-Pi_ph6/+Pi_pH6,wt
AT2G45130,2.53,3.92147E-05,0.014069151,-Pi_ph6/+Pi_pH6,wt
AT1G73010,2.45,1.7188E-16,3.51494E-13,-Pi_ph6/+Pi_pH6,wt
AT5G03985,2.42,9.00009E-06,0.004090042,-Pi_ph6/+Pi_pH6,wt
AT2G38940,2.33,6.43144E-24,2.63046E-20,-Pi_ph6/+Pi_pH6,wt
AT4G31248,1.86,1.60154E-06,0.000885176,-Pi_ph6/+Pi_pH6,wt
AT4G00770,1.81,1.49258E-07,0.000105253,-Pi_ph6/+Pi_pH6,wt
AT4G03960,1.56,1.05506E-10,1.3485E-07,-Pi_ph6/+Pi_pH6,wt
AT3G05630,1.55,3.76968E-10,4.5347E-07,-Pi_ph6/+Pi_pH6,wt
AT3G09875,1.43,0.000100436,0.030204651,-Pi_ph6/+Pi_pH6,wt
AT4G30110,1.33,4.92693E-09,5.03779E-06,-Pi_ph6/+Pi_pH6,wt
AT4G23000,1.31,8.45076E-05,0.026184541,-Pi_ph6/+Pi_pH6,wt
AT4G33030,1.31,3.96458E-14,6.75631E-11,-Pi_ph6/+Pi_pH6,wt
AT3G52190,1.30,2.31303E-16,4.30014E-13,-Pi_ph6/+Pi_pH6,wt
AT5G41080,1.27,6.91402E-07,0.00042846,-Pi_ph6/+Pi_pH6,wt
AT5G43350,1.25,7.31715E-11,9.97572E-08,-Pi_ph6/+Pi_pH6,wt
AT4G15540,1.18,1.01976E-07,7.4479E-05,-Pi_ph6/+Pi_pH6,wt
AT2G14960,1.18,8.48912E-08,6.42973E-05,-Pi_ph6/+Pi_pH6,wt
AT1G05000,1.16,5.62833E-11,8.22138E-08,-Pi_ph6/+Pi_pH6,wt
AT4G25160,1.14,5.05969E-06,0.002586768,-Pi_ph6/+Pi_pH6,wt
AT5G62280,1.11,2.58097E-05,0.010150169,-Pi_ph6/+Pi_pH6,wt
AT5G47740,1.07,0.000143817,0.040288514,-Pi_ph6/+Pi_pH6,wt
AT5G54490,1.06,8.64345E-05,0.026381867,-Pi_ph6/+Pi_pH6,wt
AT3G19970,1.04,5.72642E-08,4.50405E-05,-Pi_ph6/+Pi_pH6,wt
AT2G26660,1.04,1.78708E-08,1.52274E-05,-Pi_ph6/+Pi_pH6,wt
AT4G12090,1.01,7.02868E-06,0.003470499,-Pi_ph6/+Pi_pH6,wt
AT5G44130,0.92,0.000184044,0.048252692,-Pi_ph6/+Pi_pH6,wt
AT4G35750,0.87,9.47946E-06,0.004124572,-Pi_ph6/+Pi_pH6,wt
AT5G01220,0.87,0.000118746,0.03469071,-Pi_ph6/+Pi_pH6,wt
AT3G60550,0.81,3.70081E-05,0.013858068,-Pi_ph6/+Pi_pH6,wt
AT3G02870,0.80,9.44181E-06,0.004124572,-Pi_ph6/+Pi_pH6,wt
AT5G25460,0.79,4.5858E-07,0.000302515,-Pi_ph6/+Pi_pH6,wt
AT1G70900,0.79,0.000114898,0.034052996,-Pi_ph6/+Pi_pH6,wt
AT5G20280,0.78,4.02258E-05,0.014183064,-Pi_ph6/+Pi_pH6,wt
AT3G04350,0.77,2.07308E-05,0.008478908,-Pi_ph6/+Pi_pH6,wt
AT2G32960,0.75,3.61079E-05,0.013858068,-Pi_ph6/+Pi_pH6,wt
AT2G27190,0.74,1.16745E-06,0.000663179,-Pi_ph6/+Pi_pH6,wt
AT4G05390,-0.84,0.000137958,0.039184012,-Pi_ph6/+Pi_pH6,wt
AT1G04770,-0.90,4.41643E-05,0.015307806,-Pi_ph6/+Pi_pH6,wt
AT5G02230,-0.99,0.000122104,0.035169363,-Pi_ph6/+Pi_pH6,wt
AT1G78050,-1.07,1.78598E-05,0.007609027,-Pi_ph6/+Pi_pH6,wt
AT5G52670,-1.10,0.000168975,0.045467565,-Pi_ph6/+Pi_pH6,wt
AT5G59490,-1.15,4.7547E-07,0.000303855,-Pi_ph6/+Pi_pH6,wt
AT1G70260,-1.22,7.84489E-05,0.025066868,-Pi_ph6/+Pi_pH6,wt
AT5G11920,-1.33,3.80734E-07,0.000259533,-Pi_ph6/+Pi_pH6,wt
AT2G02250,-1.33,0.000177123,0.047041095,-Pi_ph6/+Pi_pH6,wt
AT1G49000,-1.39,0.000148924,0.041155393,-Pi_ph6/+Pi_pH6,wt
AT1G15625,-1.40,5.35337E-05,0.018246085,-Pi_ph6/+Pi_pH6,wt
AT1G62280,-1.40,8.1852E-06,0.003804256,-Pi_ph6/+Pi_pH6,wt
AT4G10500,-1.41,1.6023E-08,1.42465E-05,-Pi_ph6/+Pi_pH6,wt
AT5G41290,-1.56,8.12041E-06,0.003804256,-Pi_ph6/+Pi_pH6,wt
AT3G49570,-1.97,1.83113E-05,0.007642182,-Pi_ph6/+Pi_pH6,wt
AT5G62330,-2.06,7.16304E-05,0.023251441,-Pi_ph6/+Pi_pH6,wt
AT5G52720,-2.07,8.2792E-05,0.026047644,-Pi_ph6/+Pi_pH6,wt
AT5G44568,-2.33,2.81918E-06,0.001517163,-Pi_ph6/+Pi_pH6,wt
AT2G26400,-2.46,2.43743E-05,0.009773631,-Pi_ph6/+Pi_pH6,wt
AT1G78230,-2.50,3.68735E-06,0.001933496,-Pi_ph6/+Pi_pH6,wt
AT4G27850,-2.72,3.71407E-09,3.99751E-06,-Pi_ph6/+Pi_pH6,wt
AT2G37870,-3.36,3.79487E-05,0.013858068,-Pi_ph6/+Pi_pH6,wt
AT3G16520,-3.40,6.18424E-05,0.020732413,-Pi_ph6/+Pi_pH6,wt
AT1G15610,-3.60,6.629E-05,0.021864999,-Pi_ph6/+Pi_pH6,wt
AT3G12230,-3.98,8.63124E-09,8.40519E-06,-Pi_ph6/+Pi_pH6,wt
AT5G47850,-5.82,3.74594E-05,0.013858068,-Pi_ph6/+Pi_pH6,wt
AT3G46190,-5.82,3.24209E-08,2.65203E-05,-Pi_ph6/+Pi_pH6,wt
AT2G05100,5.16,0.000207856,0.044072606,+Pi_ph5/+Pi_pH6,wt
AT5G52390,4.33,3.64794E-05,0.015541742,+Pi_ph5/+Pi_pH6,wt
AT1G23730,3.67,2.10521E-07,0.000329791,+Pi_ph5/+Pi_pH6,wt
AT5G07570,3.46,0.000134167,0.03479543,+Pi_ph5/+Pi_pH6,wt
AT5G48850,2.79,0.000168502,0.038179602,+Pi_ph5/+Pi_pH6,wt
AT3G08940,2.41,8.91176E-05,0.028475863,+Pi_ph5/+Pi_pH6,wt
AT3G49580,2.35,6.96679E-05,0.023985607,+Pi_ph5/+Pi_pH6,wt
