atID,logFC,P-value,FDR,type
AT1G20860,6.31,7.12768E-06,0.003470499,-Pi_ph6
AT2G08820,6.17,1.07074E-08,9.95299E-06,-Pi_ph6
AT3G09922,5.03,7.68572E-21,2.24533E-17,-Pi_ph6
AT5G20150,4.79,5.638E-37,3.84324E-33,-Pi_ph6
AT3G17790,4.75,3.3439E-40,3.41913E-36,-Pi_ph6
AT1G08165,4.44,4.11178E-10,4.67144E-07,-Pi_ph6
AT5G20790,3.80,2.48748E-17,5.65211E-14,-Pi_ph6
AT1G17710,3.65,7.17546E-07,0.000431583,-Pi_ph6
AT5G43370,3.60,5.10264E-19,1.30436E-15,-Pi_ph6
AT5G53048,3.59,1.64442E-11,2.5868E-08,-Pi_ph6
AT3G47420,3.51,1.68311E-27,8.60488E-24,-Pi_ph6
AT4G01060,3.48,1.16512E-06,0.000663179,-Pi_ph6
AT2G30540,3.30,0.000159661,0.043534148,-Pi_ph6
AT3G02040,3.13,1.48198E-47,3.03065E-43,-Pi_ph6
AT5G03545,2.92,4.61366E-23,1.57249E-19,-Pi_ph6
AT2G45130,2.53,3.92147E-05,0.014069151,-Pi_ph6
AT1G73010,2.45,1.7188E-16,3.51494E-13,-Pi_ph6
AT5G03985,2.42,9.00009E-06,0.004090042,-Pi_ph6
AT2G38940,2.33,6.43144E-24,2.63046E-20,-Pi_ph6
AT4G31248,1.86,1.60154E-06,0.000885176,-Pi_ph6
AT4G00770,1.81,1.49258E-07,0.000105253,-Pi_ph6
AT4G03960,1.56,1.05506E-10,1.3485E-07,-Pi_ph6
AT3G05630,1.55,3.76968E-10,4.5347E-07,-Pi_ph6
AT3G09875,1.43,0.000100436,0.030204651,-Pi_ph6
AT4G30110,1.33,4.92693E-09,5.03779E-06,-Pi_ph6
AT4G23000,1.31,8.45076E-05,0.026184541,-Pi_ph6
AT4G33030,1.31,3.96458E-14,6.75631E-11,-Pi_ph6
AT3G52190,1.30,2.31303E-16,4.30014E-13,-Pi_ph6
AT5G41080,1.27,6.91402E-07,0.00042846,-Pi_ph6
AT5G43350,1.25,7.31715E-11,9.97572E-08,-Pi_ph6
AT4G15540,1.18,1.01976E-07,7.4479E-05,-Pi_ph6
AT2G14960,1.18,8.48912E-08,6.42973E-05,-Pi_ph6
AT1G05000,1.16,5.62833E-11,8.22138E-08,-Pi_ph6
AT4G25160,1.14,5.05969E-06,0.002586768,-Pi_ph6
AT5G62280,1.11,2.58097E-05,0.010150169,-Pi_ph6
AT5G47740,1.07,0.000143817,0.040288514,-Pi_ph6
AT5G54490,1.06,8.64345E-05,0.026381867,-Pi_ph6
AT3G19970,1.04,5.72642E-08,4.50405E-05,-Pi_ph6
AT2G26660,1.04,1.78708E-08,1.52274E-05,-Pi_ph6
AT4G12090,1.01,7.02868E-06,0.003470499,-Pi_ph6
AT5G44130,0.92,0.000184044,0.048252692,-Pi_ph6
AT4G35750,0.87,9.47946E-06,0.004124572,-Pi_ph6
AT5G01220,0.87,0.000118746,0.03469071,-Pi_ph6
AT3G60550,0.81,3.70081E-05,0.013858068,-Pi_ph6
AT3G02870,0.80,9.44181E-06,0.004124572,-Pi_ph6
AT5G25460,0.79,4.5858E-07,0.000302515,-Pi_ph6
AT1G70900,0.79,0.000114898,0.034052996,-Pi_ph6
AT5G20280,0.78,4.02258E-05,0.014183064,-Pi_ph6
AT3G04350,0.77,2.07308E-05,0.008478908,-Pi_ph6
AT2G32960,0.75,3.61079E-05,0.013858068,-Pi_ph6
AT2G27190,0.74,1.16745E-06,0.000663179,-Pi_ph6
AT4G05390,-0.84,0.000137958,0.039184012,-Pi_ph6
AT1G04770,-0.90,4.41643E-05,0.015307806,-Pi_ph6
AT5G02230,-0.99,0.000122104,0.035169363,-Pi_ph6
AT1G78050,-1.07,1.78598E-05,0.007609027,-Pi_ph6
AT5G52670,-1.10,0.000168975,0.045467565,-Pi_ph6
AT5G59490,-1.15,4.7547E-07,0.000303855,-Pi_ph6
AT1G70260,-1.22,7.84489E-05,0.025066868,-Pi_ph6
AT5G11920,-1.33,3.80734E-07,0.000259533,-Pi_ph6
AT2G02250,-1.33,0.000177123,0.047041095,-Pi_ph6
AT1G49000,-1.39,0.000148924,0.041155393,-Pi_ph6
AT1G15625,-1.40,5.35337E-05,0.018246085,-Pi_ph6
AT1G62280,-1.40,8.1852E-06,0.003804256,-Pi_ph6
AT4G10500,-1.41,1.6023E-08,1.42465E-05,-Pi_ph6
AT5G41290,-1.56,8.12041E-06,0.003804256,-Pi_ph6
AT3G49570,-1.97,1.83113E-05,0.007642182,-Pi_ph6
AT5G62330,-2.06,7.16304E-05,0.023251441,-Pi_ph6
AT5G52720,-2.07,8.2792E-05,0.026047644,-Pi_ph6
AT5G44568,-2.33,2.81918E-06,0.001517163,-Pi_ph6
AT2G26400,-2.46,2.43743E-05,0.009773631,-Pi_ph6
AT1G78230,-2.50,3.68735E-06,0.001933496,-Pi_ph6
AT4G27850,-2.72,3.71407E-09,3.99751E-06,-Pi_ph6
AT2G37870,-3.36,3.79487E-05,0.013858068,-Pi_ph6
AT3G16520,-3.40,6.18424E-05,0.020732413,-Pi_ph6
AT1G15610,-3.60,6.629E-05,0.021864999,-Pi_ph6
AT3G12230,-3.98,8.63124E-09,8.40519E-06,-Pi_ph6
AT5G47850,-5.82,3.74594E-05,0.013858068,-Pi_ph6
AT3G46190,-5.82,3.24209E-08,2.65203E-05,-Pi_ph6
AT2G05100,5.16,0.000207856,0.044072606,+Pi_ph5
AT5G52390,4.33,3.64794E-05,0.015541742,+Pi_ph5
AT1G23730,3.67,2.10521E-07,0.000329791,+Pi_ph5
AT5G07570,3.46,0.000134167,0.03479543,+Pi_ph5
AT5G48850,2.79,0.000168502,0.038179602,+Pi_ph5
AT3G08940,2.41,8.91176E-05,0.028475863,+Pi_ph5
AT3G49580,2.35,6.96679E-05,0.023985607,+Pi_ph5
AT5G03985,2.12,0.000160389,0.037369344,+Pi_ph5
AT5G52320,1.90,0.000136533,0.03479543,+Pi_ph5
AT5G50335,1.88,0.00023387,0.045986859,+Pi_ph5
AT5G18910,1.80,3.55873E-05,0.015484248,+Pi_ph5
AT3G49570,1.64,0.000223339,0.045312986,+Pi_ph5
AT3G05400,1.59,0.000259555,0.049147255,+Pi_ph5
AT3G16530,1.58,0.000160931,0.037369344,+Pi_ph5
AT2G20520,1.52,9.91983E-06,0.006147286,+Pi_ph5
AT4G01830,1.52,3.75379E-05,0.015666313,+Pi_ph5
AT3G43930,1.37,0.000220594,0.045312986,+Pi_ph5
AT3G17600,1.33,5.25113E-05,0.019176005,+Pi_ph5
AT1G74830,1.31,1.62348E-06,0.001952947,+Pi_ph5
AT5G24570,1.30,0.000209054,0.044072606,+Pi_ph5
AT3G20460,1.29,1.82479E-06,0.002073168,+Pi_ph5
AT3G49960,1.26,4.14599E-08,0.000105982,+Pi_ph5
AT5G25460,1.21,1.83515E-14,1.87645E-10,+Pi_ph5
AT3G60280,1.20,1.50309E-05,0.008302433,+Pi_ph5
AT5G22410,1.20,9.89161E-06,0.006147286,+Pi_ph5
AT5G04960,1.17,2.80376E-06,0.002730326,+Pi_ph5
AT1G34510,1.16,9.84808E-05,0.029187428,+Pi_ph5
AT3G15700,1.14,6.44332E-05,0.022718249,+Pi_ph5
AT1G51840,1.14,0.000249788,0.048190232,+Pi_ph5
AT5G57530,1.12,8.3842E-05,0.027654321,+Pi_ph5
AT4G16370,1.11,5.31441E-06,0.004025176,+Pi_ph5
AT5G57540,1.11,5.60116E-05,0.020095406,+Pi_ph5
AT1G52660,1.11,5.53493E-06,0.004042475,+Pi_ph5
AT1G62422,1.09,0.000169895,0.038179602,+Pi_ph5
AT3G29780,1.07,0.000104613,0.030561944,+Pi_ph5
AT5G61650,1.06,0.000225724,0.045312986,+Pi_ph5
AT2G46860,1.06,0.000190427,0.041873373,+Pi_ph5
AT5G43230,1.04,0.000211204,0.044072606,+Pi_ph5
AT1G48930,1.01,4.66899E-06,0.003819238,+Pi_ph5
AT5G61350,1.00,2.44013E-05,0.011604795,+Pi_ph5
AT4G22080,1.00,2.96498E-05,0.013181248,+Pi_ph5
AT1G12950,1.00,8.13481E-07,0.00103973,+Pi_ph5
AT3G23870,0.99,4.87109E-05,0.018446982,+Pi_ph5
AT3G10710,0.99,4.38485E-05,0.016918907,+Pi_ph5
AT2G44110,0.97,2.06434E-05,0.010051348,+Pi_ph5
AT1G18420,0.97,7.05835E-05,0.023985607,+Pi_ph5
AT4G00680,0.97,0.000115879,0.031596458,+Pi_ph5
AT5G38700,0.96,0.000115661,0.031596458,+Pi_ph5
AT2G41380,0.96,8.89617E-05,0.028475863,+Pi_ph5
AT5G46870,0.93,0.000115121,0.031596458,+Pi_ph5
AT1G69240,0.91,1.07145E-05,0.006444477,+Pi_ph5
AT4G31250,0.91,2.60047E-05,0.011817688,+Pi_ph5
AT4G34580,0.90,9.52802E-05,0.029081785,+Pi_ph5
AT1G19650,0.90,0.000137821,0.03479543,+Pi_ph5
AT4G25820,0.89,0.000136798,0.03479543,+Pi_ph5
AT5G61550,0.83,0.000148514,0.036019418,+Pi_ph5
AT2G22470,0.83,1.54275E-05,0.008302433,+Pi_ph5
AT5G03640,0.83,9.78904E-05,0.029187428,+Pi_ph5
AT1G27200,0.81,5.09834E-05,0.018956558,+Pi_ph5
AT1G30870,0.80,0.000151475,0.036019418,+Pi_ph5
AT2G45220,0.80,0.000121959,0.03281669,+Pi_ph5
AT2G41970,0.75,0.000226011,0.045312986,+Pi_ph5
AT2G16980,0.75,9.44012E-05,0.029081785,+Pi_ph5
AT1G22530,0.75,0.00014305,0.035675229,+Pi_ph5
AT2G42840,-0.77,4.58866E-06,0.003819238,+Pi_ph5
AT4G05390,-0.82,0.000201488,0.043372873,+Pi_ph5
AT2G39200,-0.91,1.81453E-05,0.009276777,+Pi_ph5
AT5G11920,-0.98,0.000150176,0.036019418,+Pi_ph5
AT1G30990,-1.04,0.000162634,0.037369344,+Pi_ph5
AT1G78860,-1.07,0.000111341,0.031596458,+Pi_ph5
AT2G19060,-1.18,0.000147152,0.036019418,+Pi_ph5
AT5G49780,-1.18,0.000182387,0.040541383,+Pi_ph5
AT5G13400,-1.18,0.000248573,0.048190232,+Pi_ph5
AT4G25100,-1.26,5.20853E-06,0.004025176,+Pi_ph5
AT2G44370,-1.29,4.103E-05,0.01631295,+Pi_ph5
AT4G14630,-1.33,3.39366E-06,0.003154559,+Pi_ph5
AT4G10510,-1.34,4.06788E-05,0.01631295,+Pi_ph5
AT3G25190,-1.39,3.80599E-06,0.003384025,+Pi_ph5
AT5G43520,-1.44,2.25774E-07,0.000329791,+Pi_ph5
AT5G59680,-1.45,2.59395E-05,0.011817688,+Pi_ph5
AT5G50200,-1.46,8.34874E-08,0.000170732,+Pi_ph5
AT4G25310,-1.49,9.25221E-06,0.006103475,+Pi_ph5
AT5G22555,-1.55,0.000233262,0.045986859,+Pi_ph5
AT5G41290,-1.67,1.9864E-06,0.002137996,+Pi_ph5
AT4G27850,-1.68,0.000111237,0.031596458,+Pi_ph5
AT1G05650,-1.70,1.48625E-05,0.008302433,+Pi_ph5
AT1G21210,-2.05,6.8045E-06,0.004798348,+Pi_ph5
AT5G37450,-2.06,8.64364E-06,0.00589208,+Pi_ph5
AT5G41300,-2.08,5.75428E-07,0.0007845,+Pi_ph5
AT3G60470,-2.19,7.15463E-05,0.023985607,+Pi_ph5
AT2G45360,-2.20,6.4645E-08,0.000146888,+Pi_ph5
AT2G02580,-2.21,0.000135941,0.03479543,+Pi_ph5
AT3G60270,-2.29,8.37419E-10,3.42504E-06,+Pi_ph5
AT1G78230,-2.33,1.63631E-05,0.008580114,+Pi_ph5
AT2G25410,-2.39,2.34102E-06,0.002393697,+Pi_ph5
AT4G07820,-2.62,4.14804E-05,0.01631295,+Pi_ph5
AT5G48430,-2.70,1.25448E-14,1.87645E-10,+Pi_ph5
AT4G19750,-2.94,1.52961E-05,0.008302433,+Pi_ph5
AT2G21900,-2.96,9.14092E-05,0.028758747,+Pi_ph5
AT3G46190,-2.97,0.000196433,0.042734631,+Pi_ph5
AT1G33840,-2.98,3.99691E-08,0.000105982,+Pi_ph5
AT5G07760,-3.03,0.000252755,0.048306956,+Pi_ph5
AT1G08090,-3.43,4.26863E-09,1.45489E-05,+Pi_ph5
AT5G33355,-3.62,2.89222E-11,1.47865E-07,+Pi_ph5
AT5G23990,-3.69,6.77843E-12,4.62063E-08,+Pi_ph5
AT3G03670,-4.13,1.82593E-07,0.000311169,+Pi_ph5
AT4G19760,-4.49,1.90113E-05,0.009482478,+Pi_ph5
AT4G23170,-6.57,1.3948E-07,0.000259306,+Pi_ph5
AT3G05727,6.85,0.000626673,0.031487628,-Pi_ph5
AT5G07570,5.03,1.18139E-09,4.8319E-07,-Pi_ph5
AT5G52390,4.51,1.35458E-05,0.001560407,-Pi_ph5
AT1G60830,3.92,3.29544E-07,6.87671E-05,-Pi_ph5
AT1G23730,3.58,3.78908E-07,7.67195E-05,-Pi_ph5
AT5G07560,3.30,5.29225E-05,0.004875065,-Pi_ph5
AT3G17790,3.18,3.25315E-20,1.33054E-16,-Pi_ph5
AT5G20150,3.13,7.37101E-19,2.51229E-15,-Pi_ph5
AT5G06865,3.05,6.95791E-05,0.005760695,-Pi_ph5
AT5G03985,2.88,7.01082E-08,1.77002E-05,-Pi_ph5
AT4G13420,2.75,4.40416E-10,1.83806E-07,-Pi_ph5
AT5G52320,2.56,1.01025E-07,2.40228E-05,-Pi_ph5
AT1G44130,2.52,0.000100326,0.00765679,-Pi_ph5
AT1G63390,2.45,0.000634543,0.031727142,-Pi_ph5
AT2G43510,2.45,9.41139E-08,2.31647E-05,-Pi_ph5
AT3G29670,2.39,0.00025769,0.016315059,-Pi_ph5
AT1G76470,2.37,2.64782E-06,0.000410212,-Pi_ph5
AT1G51840,2.34,1.16775E-13,1.03828E-10,-Pi_ph5
AT3G47420,2.33,5.34333E-14,5.20339E-11,-Pi_ph5
AT4G28040,2.29,6.34913E-08,1.66461E-05,-Pi_ph5
AT1G08430,2.27,1.19572E-17,2.71694E-14,-Pi_ph5
AT3G16530,2.21,1.75863E-07,3.95209E-05,-Pi_ph5
AT4G30270,2.12,0.000926782,0.041562915,-Pi_ph5
AT2G11215,2.06,0.00016596,0.011504717,-Pi_ph5
AT4G23700,2.05,2.89487E-05,0.002974884,-Pi_ph5
AT1G71140,2.00,0.001089426,0.046804131,-Pi_ph5
AT3G01970,1.90,1.1223E-05,0.001358049,-Pi_ph5
AT1G76210,1.89,0.00047137,0.025705395,-Pi_ph5
AT2G29000,1.88,1.50273E-05,0.001707273,-Pi_ph5
AT1G69480,1.85,5.32752E-07,0.00010376,-Pi_ph5
AT2G26740,1.83,0.000175396,0.012036404,-Pi_ph5
AT5G25460,1.80,2.96552E-29,6.06449E-25,-Pi_ph5
AT3G48580,1.72,0.001140389,0.048788607,-Pi_ph5
AT4G01830,1.71,3.5196E-06,0.000525371,-Pi_ph5
AT1G61550,1.71,0.000598119,0.030426707,-Pi_ph5
AT5G03545,1.67,3.25144E-09,1.14641E-06,-Pi_ph5
AT3G02040,1.65,2.99107E-15,3.39819E-12,-Pi_ph5
AT2G03360,1.64,0.000508419,0.027289131,-Pi_ph5
AT1G14520,1.64,0.000163704,0.011425756,-Pi_ph5
AT4G38420,1.63,0.000403847,0.02319849,-Pi_ph5
AT3G61280,1.56,0.000910425,0.041187516,-Pi_ph5
AT2G41380,1.55,3.1275E-10,1.33245E-07,-Pi_ph5
AT5G06860,1.54,6.59489E-06,0.000899104,-Pi_ph5
AT2G38940,1.51,1.90123E-11,1.08E-08,-Pi_ph5
AT3G49960,1.51,7.33312E-11,3.48749E-08,-Pi_ph5
AT4G31248,1.50,0.000152562,0.010721293,-Pi_ph5
AT3G56620,1.50,0.001060951,0.04575509,-Pi_ph5
AT5G14780,1.49,5.08775E-06,0.000732708,-Pi_ph5
AT4G04990,1.49,9.50192E-06,0.001177321,-Pi_ph5
AT3G56080,1.49,9.33957E-06,0.001171743,-Pi_ph5
AT1G68620,1.48,0.000910105,0.041187516,-Pi_ph5
AT1G05340,1.46,0.000766552,0.036711894,-Pi_ph5
AT3G17600,1.44,1.1338E-05,0.001363893,-Pi_ph5
AT1G23052,1.42,0.000208652,0.014004187,-Pi_ph5
AT5G20790,1.41,0.000922513,0.041462379,-Pi_ph5
AT3G29780,1.40,3.78615E-07,7.67195E-05,-Pi_ph5
AT4G14860,1.39,0.000724967,0.035215119,-Pi_ph5
AT4G08290,1.36,0.000237631,0.015329846,-Pi_ph5
AT3G29410,1.35,0.000395391,0.022841113,-Pi_ph5
AT2G20520,1.34,9.11568E-05,0.007195136,-Pi_ph5
AT2G21510,1.34,5.60694E-05,0.005059532,-Pi_ph5
AT5G38700,1.33,6.93219E-08,1.77002E-05,-Pi_ph5
AT1G54940,1.33,1.20782E-05,0.001411424,-Pi_ph5
AT2G43590,1.32,0.00010307,0.00783563,-Pi_ph5
AT2G39690,1.32,0.001152899,0.049118745,-Pi_ph5
AT5G38200,1.31,1.99521E-05,0.002170318,-Pi_ph5
AT4G08535,1.31,0.000110277,0.008252373,-Pi_ph5
AT4G00130,1.29,0.001025698,0.044865653,-Pi_ph5
AT1G63730,1.28,0.001006032,0.044285448,-Pi_ph5
AT2G30140,1.27,0.000669333,0.033222941,-Pi_ph5
AT3G28345,1.25,4.50096E-05,0.004241684,-Pi_ph5
AT1G22430,1.24,0.000117713,0.00859722,-Pi_ph5
AT5G48010,1.24,0.000998438,0.044099466,-Pi_ph5
AT3G47740,1.24,5.78874E-05,0.005080674,-Pi_ph5
AT1G23540,1.23,0.000867548,0.040229854,-Pi_ph5
AT5G22410,1.22,7.36622E-06,0.000971866,-Pi_ph5
AT1G74830,1.20,1.1657E-05,0.001385968,-Pi_ph5
AT5G04960,1.20,1.84008E-06,0.000305931,-Pi_ph5
AT5G03860,1.19,7.431E-05,0.006102972,-Pi_ph5
AT1G79860,1.19,4.99622E-05,0.004686821,-Pi_ph5
AT1G12950,1.17,6.55525E-09,2.23425E-06,-Pi_ph5
AT1G05000,1.17,4.01056E-11,2.10297E-08,-Pi_ph5
AT4G28850,1.16,0.000110973,0.008252373,-Pi_ph5
AT2G47530,1.16,0.000458383,0.025131167,-Pi_ph5
AT1G72860,1.16,8.17895E-05,0.006585023,-Pi_ph5
AT3G20460,1.16,1.95308E-05,0.002135854,-Pi_ph5
AT1G73010,1.15,0.000122886,0.008911395,-Pi_ph5
AT5G57540,1.13,4.1117E-05,0.003929171,-Pi_ph5
AT1G51830,1.12,7.50184E-08,1.87089E-05,-Pi_ph5
AT5G43230,1.11,6.79569E-05,0.00573535,-Pi_ph5
AT5G40860,1.11,0.000713124,0.034805212,-Pi_ph5
AT2G46860,1.11,9.30457E-05,0.00726878,-Pi_ph5
AT1G54970,1.11,0.000505668,0.02721293,-Pi_ph5
AT5G57530,1.10,0.000115849,0.008491463,-Pi_ph5
AT1G64930,1.08,0.00018292,0.01251076,-Pi_ph5
AT2G37670,1.08,0.000194619,0.013135165,-Pi_ph5
AT5G52790,1.07,0.000242798,0.015467956,-Pi_ph5
AT1G34510,1.07,0.00034065,0.020429037,-Pi_ph5
AT3G05630,1.06,2.34598E-05,0.002485762,-Pi_ph5
AT1G68330,1.06,0.000312549,0.019022678,-Pi_ph5
AT3G51750,1.05,0.000427947,0.024042634,-Pi_ph5
AT4G15765,1.05,0.000151168,0.010659953,-Pi_ph5
AT4G22080,1.04,1.54459E-05,0.001735541,-Pi_ph5
AT1G77450,1.04,0.001107874,0.047496886,-Pi_ph5
AT3G23870,1.03,2.80415E-05,0.002896208,-Pi_ph5
AT1G62422,1.02,0.000434839,0.024164282,-Pi_ph5
AT3G49120,1.01,0.000115522,0.008491463,-Pi_ph5
AT1G59725,1.01,0.000837469,0.039370688,-Pi_ph5
AT1G52660,1.00,3.99473E-05,0.003835313,-Pi_ph5
AT1G48930,0.99,5.9746E-06,0.000842625,-Pi_ph5
AT3G54870,0.99,0.000340151,0.020429037,-Pi_ph5
AT5G08230,0.98,0.000559925,0.028937442,-Pi_ph5
AT1G18420,0.98,5.73991E-05,0.005059532,-Pi_ph5
AT3G10710,0.98,5.73322E-05,0.005059532,-Pi_ph5
AT3G21180,0.97,0.000356121,0.021232297,-Pi_ph5
AT3G15700,0.97,0.000701977,0.034425496,-Pi_ph5
AT1G19650,0.96,4.3246E-05,0.00409436,-Pi_ph5
AT1G70460,0.96,0.00022922,0.014881112,-Pi_ph5
AT3G07070,0.96,0.000558478,0.028937442,-Pi_ph5
AT4G15550,0.96,0.000222726,0.014554885,-Pi_ph5
AT5G64260,0.94,0.000866388,0.040229854,-Pi_ph5
AT4G27290,0.94,3.60414E-05,0.003543493,-Pi_ph5
AT1G27200,0.93,3.28726E-06,0.000497958,-Pi_ph5
AT1G09170,0.93,0.000553134,0.028929913,-Pi_ph5
AT4G09500,0.90,0.000157966,0.011063042,-Pi_ph5
AT1G09530,0.89,0.001152909,0.049118745,-Pi_ph5
AT5G03640,0.89,2.6955E-05,0.002798119,-Pi_ph5
AT4G07960,0.88,8.65935E-05,0.006917334,-Pi_ph5
AT5G46870,0.88,0.000270292,0.017007592,-Pi_ph5
AT3G63380,0.88,5.83447E-05,0.00509893,-Pi_ph5
AT5G62280,0.87,0.000914383,0.041187516,-Pi_ph5
AT2G16980,0.87,6.4271E-06,0.000888069,-Pi_ph5
AT5G20280,0.86,7.36543E-06,0.000971866,-Pi_ph5
AT1G79180,0.85,0.000935669,0.041778384,-Pi_ph5
AT1G66180,0.85,0.0009098,0.041187516,-Pi_ph5
AT4G25160,0.85,0.00074911,0.036045395,-Pi_ph5
AT5G53990,0.84,3.02787E-05,0.003080591,-Pi_ph5
AT2G44110,0.83,0.000241063,0.015453736,-Pi_ph5
AT5G49270,0.81,0.000168683,0.011653957,-Pi_ph5
AT1G69240,0.81,9.90329E-05,0.007642354,-Pi_ph5
AT3G57140,0.80,0.000407303,0.023331518,-Pi_ph5
AT2G46600,0.80,0.000874867,0.040477434,-Pi_ph5
AT4G31250,0.80,0.000218093,0.014342013,-Pi_ph5
AT5G61350,0.79,0.000878476,0.040552673,-Pi_ph5
AT4G34580,0.79,0.000611513,0.031030855,-Pi_ph5
AT3G21250,0.79,0.001027453,0.044865653,-Pi_ph5
AT2G22920,0.78,0.000734745,0.035521349,-Pi_ph5
AT5G47050,0.78,0.000133521,0.009547183,-Pi_ph5
AT2G21830,0.77,0.000688686,0.034100773,-Pi_ph5
AT5G36180,0.77,0.000549364,0.028806411,-Pi_ph5
AT4G34131,0.76,0.000862381,0.040172403,-Pi_ph5
AT1G55920,0.76,0.000291229,0.018047353,-Pi_ph5
AT3G60330,0.74,6.9344E-05,0.005760695,-Pi_ph5
AT4G23920,0.74,0.000211569,0.014139194,-Pi_ph5
AT1G10530,0.73,0.000964244,0.042960334,-Pi_ph5
AT3G10960,0.72,0.000224803,0.014640804,-Pi_ph5
AT4G30960,0.72,7.44322E-06,0.000975729,-Pi_ph5
AT5G53420,0.72,0.000173713,0.011961071,-Pi_ph5
AT5G57660,0.71,0.000403026,0.02319849,-Pi_ph5
AT1G58360,0.71,0.000215386,0.014313533,-Pi_ph5
AT2G25490,0.70,0.000887923,0.040804535,-Pi_ph5
AT2G22470,0.70,0.000281251,0.017482036,-Pi_ph5
AT4G05200,0.69,0.000376607,0.021941893,-Pi_ph5
AT4G00460,0.68,0.000495617,0.02688425,-Pi_ph5
AT5G03670,0.68,6.19347E-05,0.005344159,-Pi_ph5
AT5G22890,0.68,0.000711399,0.034804104,-Pi_ph5
AT3G30180,0.67,0.000529487,0.027907217,-Pi_ph5
AT1G10050,0.67,0.000316804,0.019224447,-Pi_ph5
AT1G53470,0.65,0.000803688,0.038310984,-Pi_ph5
AT4G19810,0.65,0.001024546,0.044865653,-Pi_ph5
AT5G63650,0.65,6.94677E-05,0.005760695,-Pi_ph5
AT1G08840,0.64,0.000914228,0.041187516,-Pi_ph5
AT2G45750,0.63,0.000464394,0.025392673,-Pi_ph5
AT4G30560,0.62,0.000108481,0.008156044,-Pi_ph5
AT5G50180,0.61,0.000125823,0.009092181,-Pi_ph5
AT5G60700,0.61,0.000935672,0.041778384,-Pi_ph5
AT1G61590,0.61,0.000691783,0.034107388,-Pi_ph5
AT4G33030,0.60,0.000562406,0.028937442,-Pi_ph5
AT4G10380,0.56,0.00084432,0.039543154,-Pi_ph5
AT5G49890,0.55,0.000913296,0.041187516,-Pi_ph5
AT1G53830,0.55,0.000981114,0.043522287,-Pi_ph5
AT5G18170,0.54,0.000312116,0.019022678,-Pi_ph5
AT2G38860,0.54,0.000528628,0.027907217,-Pi_ph5
AT1G30110,-0.55,0.000979519,0.043522287,-Pi_ph5
AT5G13420,-0.57,0.001062771,0.04575509,-Pi_ph5
AT1G18210,-0.58,0.00090429,0.041187516,-Pi_ph5
AT1G49820,-0.60,0.000664291,0.033052928,-Pi_ph5
AT5G42720,-0.61,0.000746422,0.036000775,-Pi_ph5
AT4G15400,-0.61,0.000994247,0.044009435,-Pi_ph5
AT4G24310,-0.62,0.000498695,0.026929388,-Pi_ph5
AT1G49230,-0.62,0.00080913,0.038382353,-Pi_ph5
AT4G26060,-0.62,0.000434369,0.024164282,-Pi_ph5
AT3G51330,-0.64,0.000272188,0.017074364,-Pi_ph5
AT1G71870,-0.64,0.000567685,0.029095626,-Pi_ph5
AT2G42840,-0.65,0.000100343,0.00765679,-Pi_ph5
AT4G22270,-0.66,0.000215578,0.014313533,-Pi_ph5
AT1G35580,-0.66,9.31257E-05,0.00726878,-Pi_ph5
AT1G23150,-0.66,0.001048545,0.045374385,-Pi_ph5
AT3G29034,-0.66,0.000894372,0.04100877,-Pi_ph5
AT1G13930,-0.67,0.000499083,0.026929388,-Pi_ph5
AT3G07270,-0.68,0.000456245,0.025081232,-Pi_ph5
AT1G77280,-0.69,0.000280166,0.017467647,-Pi_ph5
AT3G01860,-0.69,0.000241848,0.015455585,-Pi_ph5
AT4G10550,-0.69,0.000723117,0.035208933,-Pi_ph5
AT1G66200,-0.70,0.00085612,0.03997182,-Pi_ph5
AT1G80380,-0.71,0.000520648,0.027799587,-Pi_ph5
AT4G18340,-0.71,0.000131763,0.009454597,-Pi_ph5
AT1G07260,-0.71,0.000317974,0.019238339,-Pi_ph5
AT1G32380,-0.71,0.000727783,0.035268157,-Pi_ph5
AT1G08930,-0.72,0.000808264,0.038382353,-Pi_ph5
AT2G38310,-0.72,5.6585E-05,0.005059532,-Pi_ph5
AT1G73270,-0.73,0.000165449,0.011504717,-Pi_ph5
AT3G09290,-0.73,0.00062643,0.031487628,-Pi_ph5
AT1G02900,-0.73,0.000883854,0.040709063,-Pi_ph5
AT1G29270,-0.73,0.000557004,0.028937442,-Pi_ph5
AT2G35930,-0.73,2.20227E-05,0.002357923,-Pi_ph5
AT3G22840,-0.73,0.001038223,0.045077829,-Pi_ph5
AT3G06990,-0.75,0.000765216,0.036711894,-Pi_ph5
AT2G27660,-0.75,0.000208864,0.014004187,-Pi_ph5
AT1G60095,-0.75,0.000450858,0.024851862,-Pi_ph5
AT1G48500,-0.77,3.45042E-05,0.003425297,-Pi_ph5
AT4G01700,-0.77,0.000130558,0.009401096,-Pi_ph5
AT2G23610,-0.77,6.24673E-05,0.005367462,-Pi_ph5
AT5G45500,-0.77,6.93841E-05,0.005760695,-Pi_ph5
AT1G49160,-0.78,0.000639022,0.031873181,-Pi_ph5
AT5G14760,-0.80,0.001049491,0.045374385,-Pi_ph5
AT3G07195,-0.80,0.000343267,0.020525744,-Pi_ph5
AT1G64400,-0.80,0.000415611,0.023703253,-Pi_ph5
AT5G42010,-0.81,0.000416111,0.023703253,-Pi_ph5
AT1G52200,-0.81,8.54908E-05,0.006856023,-Pi_ph5
