atID,-Pi_ph6/+Pi_pH6,+Pi_ph5/+Pi_pH6,-Pi_ph5/+Pi_pH6,+Al/+Pi_pH6,++Fe/+Pi_pH6,-Pi_ph6/+Pi_pH6_wild-type,+Pi_ph5/+Pi_pH6_wild-type,-Pi_ph5/+Pi_pH6_wild-type,+Al/+Pi_pH6_wild-type,++Fe/+Pi_pH6_wild-type
AT1G20860,1,0,0,0,0,1,0,0,0,0
AT2G08820,1,0,0,1,0,1,0,1,1,0
AT3G09922,1,0,0,1,1,1,0,1,1,1
AT5G20150,1,0,1,1,1,1,0,1,1,1
AT3G17790,1,0,1,1,1,1,0,1,1,1
AT1G08165,1,0,0,1,0,1,0,1,1,0
AT5G20790,1,0,1,1,0,1,0,1,1,0
AT1G17710,1,0,0,1,0,1,0,1,1,0
AT5G43370,1,0,0,1,0,1,0,0,0,0
AT5G53048,1,0,0,1,0,1,0,0,1,0
AT3G47420,1,0,1,1,1,1,0,1,1,1
AT4G01060,1,0,0,0,0,1,0,0,0,0
AT2G30540,1,0,0,1,1,1,0,0,0,1
AT3G02040,1,0,1,1,1,1,0,1,1,1
AT5G03545,1,0,1,1,1,1,0,1,1,1
AT2G45130,1,0,0,1,0,1,0,0,1,0
AT1G73010,1,0,1,1,1,1,0,1,1,1
AT5G03985,1,1,1,1,1,0,0,0,0,0
AT2G38940,1,0,1,1,1,1,0,1,1,1
AT4G31248,1,0,1,1,1,1,0,1,1,1
AT4G00770,1,0,0,1,0,0,0,0,0,0
AT4G03960,1,0,0,1,0,1,0,1,1,0
AT3G05630,1,0,1,1,0,1,0,0,1,0
AT3G09875,1,0,0,1,0,0,0,0,0,0
AT4G30110,1,0,0,0,1,1,0,0,0,1
AT4G23000,1,0,0,1,0,0,0,0,0,0
AT4G33030,1,0,1,1,0,1,0,1,1,0
AT3G52190,1,0,0,1,0,1,0,0,1,0
AT5G41080,1,0,0,1,1,1,0,0,1,0
AT5G43350,1,0,0,0,0,1,0,0,1,1
AT4G15540,1,0,0,1,0,1,0,0,1,0
AT2G14960,1,0,0,1,0,0,0,0,0,0
AT1G05000,1,0,1,1,1,1,1,1,1,1
AT4G25160,1,0,1,0,0,1,0,0,1,0
AT5G62280,1,0,1,1,1,0,0,1,0,1
AT5G47740,1,0,0,0,0,1,0,0,1,0
AT5G54490,1,0,0,0,1,0,0,1,1,1
AT3G19970,1,0,0,1,1,1,0,1,1,0
AT2G26660,1,0,0,1,0,1,0,0,1,0
AT4G12090,1,0,0,0,0,1,0,0,1,1
AT5G44130,1,0,0,1,0,1,0,0,1,1
AT4G35750,1,0,0,1,1,1,0,1,1,1
AT5G01220,1,0,0,1,0,1,0,0,0,0
AT3G60550,1,0,0,0,0,0,0,0,1,0
AT3G02870,1,0,0,1,0,1,0,0,1,0
AT5G25460,1,1,1,1,1,1,1,0,1,1
AT1G70900,1,0,0,1,0,1,0,0,1,0
AT5G20280,1,0,1,1,0,0,0,0,0,0
AT3G04350,1,0,0,1,0,0,0,0,0,0
