labels,P53KO-O1,P53KO-O1_min,P53KO-O1_max,p53KO-O-CAS1,p53KO-O-CAS1_min,p53KO-O-CAS1_max,p53KO-O-RAS1,p53KO-O-RAS1_min,p53KO-O-RAS1_max,WT-O1,WT-O1_min,WT-O1_max,mse
0,1,0.2693123714921994,1,0.9583259669352373,0.38948457873693365,1,0.4125279226611654,0,1,0.03633138392151235,0,0.6375251353057002,2.3130717882009244
1,0.5518913622697288,0,1,1,0.35939991430631124,1,0.5626104788585566,0,1,0.9870364370458862,0.2650375617993583,1,2.9505382553565935
2,0,0,0.5716017680650762,1,1,1,0,0,0.9660614143558114,0,0,0.795112685398075,1.8922074200432102
3,1,1,1,0,0,0.5030143232743778,0,0,0.57230737514004,0,0,0.5299145096299863,0.8613685285752516
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.5824375987672162,0,0,0.9316177901589595,1,1,1,0,0,0.47946293856337513,1.4370299728542106
6,0.7188940367350605,0,1,0,0,0.6288416839302141,0.15428563468787623,0,0.7782577186368324,1,0.5520990236123612,1,2.2017422247149945
7,0.9471679397428031,0.310633386009182,1,0.14415202456949924,0,0.8947355609297926,1,0.37453521943846857,1,0.4562210192605458,0,1,2.6669842442004006
8,0,0,0.629032282143178,0,0,0.5822611188493497,0.8099995821113503,0.0899999535679278,1,1,0.5291008020699361,1,1.7845557616195022
