"","logFC","logCPM","PValue","FDR"
"5191",10.6376595050876,7.25480905643705,2.55243962449225e-159,4.92978189074432e-155
"317",-7.98686308182838,8.91963587633922,2.98975104420737e-155,2.88720258339106e-151
"17231",8.80061378632256,5.84228484893103,1.323414198168e-104,8.52014060780558e-101
"10131",-6.76018575772902,11.6705117808996,6.50000580126979e-103,3.13852780114312e-99
"5777",7.54690186743247,5.25702564289699,5.9246075630503e-102,2.28855740945507e-98
"7735",-7.82711793300959,6.18060214127017,5.59414965286755e-99,1.80075677325807e-95
"10130",-5.78391210262016,7.42326604453369,5.08148296439323e-92,1.40205374248987e-88
"7918",8.26599177598311,5.28658491276896,1.83529634023026e-91,4.43086418940091e-88
"2496",-6.22139936611902,10.6839642330491,4.34297392947439e-89,9.32002205265205e-86
"9697",6.46111007916069,5.71994492297484,1.11269538854611e-86,2.14905987343796e-83
"10120",-6.98408731973571,12.30910224782,1.11335927770948e-84,1.95485646269827e-81
"9053",-6.88573249604432,12.0310545683701,1.83462673430919e-84,2.95283172887065e-81
"6545",-6.99095943367017,12.9372579741091,2.72513080272339e-82,4.04870587106151e-79
"14781",6.89378560891904,5.00720218188513,7.68995012327934e-81,1.06088354772155e-77
"15599",-4.99874976016451,7.10673753278413,4.37060807711365e-80,5.62759496009154e-77
"4988",-7.58332831953567,7.30353929063447,4.14316828339694e-79,5.00132201409553e-76
"13693",9.45617104868852,3.85818756483247,7.84623770556471e-79,8.9142491203104e-76
"10137",-7.27807090547864,10.7203786794168,3.65054811381112e-75,3.91703812611933e-72
"8080",-4.40265132134243,8.7663776191085,1.34621747601494e-73,1.36846549114487e-70
"10119",-7.04544746297494,12.5928168756035,2.87867274217423e-71,2.77993426711766e-68
"5659",7.60744706426111,4.78821397418137,1.91887612861557e-70,1.76481778800386e-67
"14132",7.86241891219096,3.6324838576076,1.06746572153908e-69,9.3713786117299e-67
"10129",-5.52092161942549,11.2579243347384,1.15396630510532e-69,9.69030661600177e-67
"16263",5.71559077598409,6.2349459285392,1.21133113328408e-68,9.74818729510364e-66
"2768",5.88613615577511,4.92123397982313,1.33686781873978e-68,1.03281060204561e-65
"2792",6.85125571092207,3.82047907076915,8.7113601891911e-68,6.47120041130911e-65
