atID,hp6,lp6,hp5,lp5,al,fe
AT1G01020|wt,0.8309899598173903,0.8781507980388725,0.9415141368574486,0.9150482679341192,0.8419989056978845,0.837462667038288
AT1G01030|wt,0.7606494239271187,0.4590367867942344,0.38174710098102643,0.34516611510138745,0.41676659805533744,0.6226156450643496
AT1G01040|wt,0.7625238448518741,0.9220193828660576,0.7754099072270809,1.0,0.8439996951290871,0.5400824329899861
AT1G01050|wt,0.9276717017264559,0.8667007726596899,0.8990450073376735,0.8628490437641061,0.7932191337584226,0.8868740007778818
AT1G01060|wt,0.4222448785240714,0.6607594753563804,0.7738595232394326,0.5198504411449235,0.36639431951578705,0.6149801963076902
AT1G01070|wt,0.6371655278027211,0.5657374048725564,0.6725377018439663,0.5432480766923727,0.680583745645011,0.46156149513815836
AT1G01080|wt,0.7484962009669741,0.7421888769685159,0.8650833732558875,0.6786319568931835,0.7508350211297312,0.7137572068178104
AT1G01090|wt,0.7814092120158725,0.7355617420003487,0.7431922446011082,0.7048295027196597,0.7817717607632695,0.7859109904537049
AT1G01100|wt,0.9047213557569569,0.7106867532368482,0.7820131632120398,0.7148598013728322,0.6025530259186169,0.8977966393262757
AT1G01110|wt,0.9513274348499398,0.9773059336817689,0.9840953799973525,0.9144590883313184,0.8707449764418032,0.8862726169904381
AT1G01120|wt,0.3324367664554908,0.2867326681911894,0.29936940544327006,0.30141704997946395,0.5109925961893375,0.6134628951291022
AT1G01130|wt,0.5082544711559235,0.5626075729855717,0.6327352452535259,0.6499894315835425,0.7185075877021678,0.6555205926691869
AT1G01140|wt,0.46042380751726397,0.436389790584444,0.6075411697431785,0.4769262949885167,0.6633531422950655,0.625435844955853
AT1G01160|wt,0.9798516614944488,0.9798371261962039,0.9533532955701776,0.9716124437446155,0.8758356573137487,0.8851562962115547
AT1G01170|wt,0.7381224906208617,0.5716266451055597,0.4934112497025788,0.590889665619182,0.5677216325053954,1.0
AT1G01180|wt,0.7561602972556444,0.8351525319543874,1.0,0.6493100987536434,0.41764888729901145,0.7392878471294895
AT1G01190|wt,0.35657204986799,0.3156277321118411,0.2716970559343293,0.48785036637506907,0.5648752870695224,0.744016622420662
AT1G01200|wt,0.823348059553218,0.7057403563340021,0.7359838304324111,0.658207264052454,0.6922827368898887,0.7133338303950333
AT1G01210|wt,1.0,0.9048641014908421,0.844550116786881,0.9209810613450556,0.7410007434117313,0.8991289008793664
AT1G01220|wt,0.8152930351942752,0.8980600049979145,0.9038835795808202,1.0,0.878599294601434,0.6236509625507942
AT1G01225|wt,0.8762674489235652,0.7291198353922973,0.7269606253344673,0.8088042764231166,0.7504628827851988,0.8178545154059154
AT1G01230|wt,0.8951182528537576,0.8038118683325981,0.8800549910341504,0.7882454132311332,0.7436650260467651,1.0
AT1G01240|wt,0.44916501692660415,0.4634600314322663,0.4468175481614717,0.5084798729816117,0.5500294730375371,0.845243911699056
AT1G01260|wt,0.8647588540091303,0.8622534670669585,0.909142341996821,0.9869488385048212,0.9154880034096806,0.8299053662859202
AT1G01290|wt,0.8744007467569901,0.857238076616679,0.8226137097075507,0.929534251958737,0.8755363770825519,0.9360404749596309
AT1G01300|wt,1.0,0.936151504855133,0.8583550650699169,0.8429766615099314,0.8939626471296734,0.7063650724421092
AT1G01320|wt,0.8003394180210127,0.8054084287647606,1.0,0.9282975975872246,0.8481308982436062,0.6630728595099726
AT1G01340|wt,0.928530530725016,0.9603053282730797,0.8841752055934818,0.6945222717716719,1.0,0.6676941990037133
AT1G01350|wt,1.0,0.932321051583949,0.9372203327258016,0.8805471292686458,0.8974474458368508,0.6976283699775776
AT1G01360|wt,0.8457325390960869,1.0,0.9969444066956905,0.8578136415877524,0.7803570799325261,0.8383038168418835
AT1G01370|wt,0.823123546707574,0.6828595452010109,0.6880505910814246,0.7199093148310833,0.7568125741293686,0.8503884266652767
