"","logFC","logCPM","PValue","FDR"
"4747",-7.24862568148934,4.11692901626748,1.27681436154963e-99,2.61108536936899e-95
"12363",3.28998246820414,9.65856312357947,5.59968670066718e-75,5.72567965143219e-71
"7544",2.54720215327456,9.76002966548189,3.19472479491377e-51,2.17773740186622e-47
"15729",-2.79053301978746,4.27288402597883,2.59890970680494e-46,1.23264350846604e-42
"4726",-3.96844918698382,4.32072489618045,3.01379830920792e-46,1.23264350846604e-42
"15324",-3.77411561586144,5.73347917265879,1.14009796264667e-45,3.88583388935406e-42
"3089",-2.38614958086214,5.24115925440584,4.6907557419496e-45,1.37037078461242e-41
"7832",-2.2804199949931,5.15025270758339,2.6220737630113e-44,6.70267605669764e-41
"8612",-3.31534024640558,5.92768325332782,4.03330489425058e-43,9.16456500971382e-40
"19346",-2.40585962896942,7.11955223993473,7.2918157199521e-42,1.4911763147302e-38
"18907",-2.07621652207676,5.33143241552558,1.90628746403443e-41,3.54396169450037e-38
"13554",3.27969794409405,9.67600725470247,5.97883815941526e-41,1.01889366966702e-37
"9124",-2.30839884405662,6.18203040317708,1.49799386303055e-37,2.35645957684422e-34
"13302",4.44984158520377,7.80130299943912,2.15739209778988e-37,3.15133345712879e-34
"11720",2.1373522799212,9.55023237544728,3.29481017784924e-36,4.49192454246779e-33
"9916",2.68201521175045,8.78380473903511,1.4972468568916e-32,1.91366863896457e-29
"7545",3.4990864760442,6.55579147488316,2.61357633679073e-32,3.14397859337474e-29
"12522",-2.02333688338005,5.19548423359718,1.4167504654201e-31,1.60958594543561e-28
"16063",-5.48380154408564,3.65041835140286,1.90412504502813e-31,2.04943985109607e-28
"10434",-3.21650759166198,3.55590249850414,3.169794161377e-31,3.24111453000798e-28
"6067",-2.85417866658106,4.61340834749252,3.61324415535728e-30,3.51861157033602e-27
"9913",2.13069840905189,11.1694266342732,1.51318339739876e-29,1.40657274894567e-26
"11396",6.72867568761726,3.95762505213383,2.81393785084879e-29,2.50195778477642e-26
"17731",2.43317817853817,9.76928707440051,2.83464195882459e-28,2.41535116908179e-25
"19445",3.12100088716484,6.48750795110645,5.18167239987497e-27,4.23860802309772e-24
"3054",2.19047520466577,5.47808443863991,5.44675941664969e-27,4.28408577194178e-24
"7513",2.43527603279386,9.68557333687467,7.98587241659033e-27,6.04855892293601e-24
"13737",3.78351330334567,9.02011955564721,1.23491315711453e-26,8.82775398919045e-24
