atID,hp6,lp6,hp5,lp5,al,fe
AT1G01020|wt,18.05748399,19.0822931,20.459183955,19.884078324999997,18.29670934,18.198136480000002
AT1G01030|wt,0.9421691005,0.5685802984999999,0.47284637500000004,0.42753578449999996,0.5162228464999999,0.7711952495000001
AT1G01040|wt,35.325855395000005,42.71489162,35.92283499,46.327541929999995,39.100431265,25.020691559999996
AT1G01050|wt,106.73326690000002,99.718256705,103.4396226,99.27509604,91.2638268,102.03928744999999
AT1G01060|wt,1.859271815,2.9095236709999996,3.4075373640000004,2.2890586065,1.6133449240000002,2.7079436694999997
AT1G01070|wt,19.967939495,17.729474959999997,21.076457455,17.024688645,21.32861001,14.46473735
AT1G01080|wt,6.4438581095,6.3895578995,7.447565535999999,5.8423917625,6.463993181999999,6.144787588
AT1G01090|wt,176.2748239,165.9322856,167.65361865,158.99952875000002,176.35660975000002,177.2903612
AT1G01100|wt,498.98957885000004,391.97182805,431.31116170000007,394.27342899999996,332.3318044,495.1703241
AT1G01110|wt,12.990516320000001,13.34525655,13.43796744,12.487073615,11.890150975000001,12.102183194999999
AT1G01120|wt,41.62123156,35.899058055,37.481183200000004,37.73754921,63.97650115,76.80582831999999
AT1G01130|wt,0.763984382,0.845685426,0.9510980675,0.9770337545000001,1.0800270465,0.9853479375
AT1G01140|wt,1.4268995775,1.3524157474999998,1.8828310445,1.478042442,2.0557979475,1.9382884384999999
AT1G01160|wt,41.204158385,41.203547154999995,40.089864345,40.85768754,36.830137215,37.22208336
AT1G01170|wt,5.908129401,4.57545222,3.9493953215,4.729638577,4.544195457,8.0042668745
AT1G01180|wt,12.401625735,13.697160735,16.40078933,10.649198139500001,6.849771414499999,12.124904235
AT1G01190|wt,22.77475862,20.159587424999998,17.353673315,31.15968944,36.07937952,47.52138871
AT1G01200|wt,8.406300939500001,7.2055381095,7.5143209405,6.7202300145,7.0681371675,7.2830667165000005
AT1G01210|wt,21.747746669999998,19.678755250000002,18.36706199,20.02926281,16.115096450000003,19.554027559999998
AT1G01220|wt,23.37975191,25.75321904,25.920218785,28.676501455,25.195153949999998,17.884127735
AT1G01225|wt,7.7177011725,6.421702660999999,6.4026854785,7.123521158,6.609680957,7.203230886
AT1G01230|wt,42.299260364999995,37.984531535,41.587438399999996,37.24893092000001,35.142262445,47.25549974
AT1G01240|wt,6.190165138499999,6.3871718,6.157813511,7.0076124915,7.5802280695,11.648724185
AT1G01260|wt,27.611368785,27.531372885,29.02851398,31.512841095,29.23112815,26.498512294999998
AT1G01290|wt,15.484360565,15.180434735,14.56728775,16.460694445,15.50447092,16.575910155000003
AT1G01300|wt,152.3309387,142.6048375,130.7540328,128.41142615,136.1781692,107.60125455
AT1G01320|wt,17.3748188,17.48486354,21.709312835,20.15270295,18.412338995,14.3948561395
AT1G01340|wt,30.762688195,31.81540338,29.29317374,23.009875694999998,33.13050802,22.121048015
AT1G01350|wt,31.529639865,29.395746995,29.550219565,27.76333387,28.296194765,21.995971265
AT1G01360|wt,19.63595644,23.21769062,23.1467468,19.91645174,18.118089255,19.463478664999997
AT1G01370|wt,9.296420894,7.7122684305,7.7708965035,8.1307113895,8.5474996495,9.6043525535
AT1G01380|wt,4.532969877499999,4.302207608,3.9370101175,3.9096129765,2.9667265545,1.8239918144999998
AT1G01420|wt,11.970180775,16.184297530000002,15.2799178,13.239254785,6.9668247365,8.0501552505
AT1G01430|wt,42.504427845,43.790120515,41.834883575,33.4663113,27.69046121,26.29565307
AT1G01440|wt,22.30885086,24.861072255000003,21.998061405,23.661383405,20.68253666,19.685465555
AT1G01448|wt,14.183102015,20.22417245,14.8348853,14.275265220000001,11.288618885000002,7.812321894
AT1G01453|wt,5.7075364905,5.8277335035,11.2837081015,11.803931474999999,5.751557493,11.38919646
AT1G01470|wt,115.0868387,104.45896284999999,91.78808341999999,80.649349845,69.673305245,113.17500530000001
AT1G01480|wt,3.056493894,2.489067058,3.349442092,2.5527937400000003,3.8644297795,1.5614511119999999
AT1G01490|wt,102.54733187,102.931025705,125.80761795000001,110.84217895,95.00723719999999,84.83569510000001
AT1G01500|wt,15.739351725,16.56585348,15.223291425,13.353088195000002,15.580092615,19.560321745
AT1G01510|wt,63.004325115,68.200603375,65.181473885,65.03974871,64.37785436,47.118884415
AT1G01540|wt,51.89963064,59.03447065500001,53.18839054,62.324207235,34.666641675,27.749615085
AT1G01550|wt,188.14649995000002,176.31488295000003,180.91305734999997,174.4485685,176.50820075000001,199.20493349999998
AT1G01560|wt,0.3056802985,0.29579152849999996,0.35812472500000003,0.385697318,0.673615954,0.9549938585
AT1G01570|wt,2.5983752655,2.8894162995,2.9805067325000003,2.720289289,3.3344838215,2.2687911085000003
AT1G01580|wt,400.95284260000005,257.40151455,230.317208,31.274545189999998,14.458468025,2.6013471355
AT1G01600|wt,11.230273685,10.216617216500001,6.3834260645,6.3088100965,11.979661687,11.058693795
AT1G01610|wt,62.55300652,76.424132265,49.767421784999996,43.800187425000004,56.535548835,47.41718082
AT1G01620|wt,251.54005204999999,221.49167659999998,249.1866211,218.16682095,229.8189385,323.81506755
AT1G01630|wt,78.442880205,75.489651865,85.2818515,74.483223935,64.29836302,74.355983345
AT1G01640|wt,29.770386324999997,25.971423025,24.21503405,23.01860177,25.631029050000002,24.53846243
AT1G01650|wt,57.202334019999995,51.279198985,44.709117434999996,47.51376802,52.72594198,56.880207815
AT1G01660|wt,8.1763143485,11.2301313,12.872702295,12.513535195,9.3250399275,7.790694584000001
AT1G01670|wt,0.9679154910000001,1.2210482055000003,1.1061244685,1.5970487085,1.3596972645,1.3400446145
AT1G01690|wt,8.965179661,8.020499745,9.066841131499999,9.4390413435,9.2166518375,8.242747687
AT1G01700|wt,1.3758395270000001,1.684159108,1.154196391,1.4773034625,1.290391206,0.815989888
