atID,wtlp6-wthp6,wthp5-wthp6,wtlp5-wthp6,wtal-wthp6,wtfe-wthp6,stop1lp6-stop1hp6,stop1hp5-stop1hp6,stop1lp5-stop1hp6,stop1al-stop1hp6,stop1fe-stop1hp6
AT1G01020,0.047160838,0.110524177,0.084058308,0.011008946,0.006472707,0.137271993,0.156494594,0.071246002,0.045948333,0.023119083
AT1G01030,-0.301612637,-0.378902323,-0.415483309,-0.343882826,-0.138033779,0.07447062,0.19979068,0.094279679,-0.079505036,0.464129261
AT1G01040,0.159495538,0.012886062,0.237476155,0.08147585,-0.222441412,0.028114471,0.13224289,0.1652514,0.242023885,-0.100572613
AT1G01050,-0.060970929,-0.028626694,-0.064822658,-0.134452568,-0.040797701,0.077188271,-0.070687359,0.019103272,-0.17682455,-0.00391267
AT1G01060,0.238514597,0.351614645,0.097605563,-0.055850559,0.192735318,-0.068010344,-0.149001991,-0.05342304,-0.314938283,0.407166606
AT1G01070,-0.071428123,0.035372174,-0.093917451,0.043418218,-0.175604033,-0.018693448,-0.126712245,-0.140704604,0.296550265,-0.093345758
AT1G01080,-0.006307324,0.116587172,-0.069864244,0.00233882,-0.034738994,0.128204755,-0.11726161,-0.084199396,-0.044963846,-0.063494609
AT1G01090,-0.04584747,-0.038216967,-0.076579709,0.000362549,0.004501778,0.068148346,0.093259297,0.052148612,0.203089439,0.178384979
AT1G01100,-0.194034603,-0.122708193,-0.189861554,-0.30216833,-0.006924716,-0.095486443,-0.165639765,-0.200224026,-0.471217422,-0.118300519
AT1G01110,0.025978499,0.032767945,-0.036868347,-0.080582458,-0.065054818,-0.076413922,-0.078823522,0.002042013,-0.268510015,-0.089791354
AT1G01120,-0.045704098,-0.033067361,-0.031019716,0.17855583,0.281026129,0.011535485,0.02091413,0.078250212,0.689860299,0.375951528
AT1G01130,0.054353102,0.124480774,0.14173496,0.210253117,0.147266122,-0.000633916,0.100592653,0.107142388,0.060649679,0.373990549
AT1G01140,-0.024034017,0.147117362,0.016502487,0.202929335,0.165012037,-0.079961698,-0.193478663,0.147510862,0.273847426,0.018923746
AT1G01160,-1.45E-05,-0.026498366,-0.008239218,-0.104016004,-0.094695365,0.144900776,0.140063126,0.128876979,0.071993308,0.051870841
AT1G01170,-0.166495846,-0.244711241,-0.147232825,-0.170400858,0.261877509,0.275979953,-0.136157871,-0.05119733,-0.134029022,0.184528057
AT1G01180,0.078992235,0.243839703,-0.106850199,-0.33851141,-0.01687245,0.129093852,-0.010864799,0.070878221,-0.168354897,0.089184163
AT1G01190,-0.040944318,-0.084874994,0.131278317,0.208303237,0.387444573,0.069861779,0.012594576,0.032664634,0.72043821,0.286578359
AT1G01200,-0.117607703,-0.087364229,-0.165140796,-0.131065323,-0.110014229,-0.140462147,-0.084710501,-0.178889668,-0.243774768,-0.091374256
AT1G01210,-0.095135899,-0.155449883,-0.079018939,-0.258999257,-0.100871099,-0.011577886,0.006044189,-0.092183066,-0.421485701,-0.076250067
AT1G01220,0.08276697,0.088590544,0.184706965,0.063306259,-0.191642073,-0.126776468,-0.074824898,-0.16703744,-0.165603656,-0.214896562
AT1G01225,-0.147147614,-0.149306824,-0.067463173,-0.125804566,-0.058412934,0.112360786,0.057941384,-0.051290367,-0.039060987,-0.045992186
AT1G01230,-0.091306385,-0.015063262,-0.10687284,-0.151453227,0.104881747,-0.011895233,-0.074229015,-0.070176997,-0.219215176,0.054598698
AT1G01240,0.014295015,-0.002347469,0.059314856,0.100864456,0.396078895,0.197051776,-0.012855077,0.042259159,0.544349218,0.415125861
AT1G01260,-0.002505387,0.044383488,0.122189984,0.050729149,-0.034853488,-0.114799922,0.042210163,0.035956591,0.113798486,0.000926279
