atID,wtlp6-wthp6,wthp5-wthp6,wtlp5-wthp6,wtal-wthp6,wtfe-wthp6,stop1lp6-stop1hp6,stop1hp5-stop1hp6,stop1lp5-stop1hp6,stop1al-stop1hp6,stop1fe-stop1hp6
AT1G01290,-0.01716267,-0.051787037,0.055133505,0.00113563,0.061639728,-0.029847662,-0.09350831,-0.154162456,-0.271927216,-0.139045147
AT1G01300,-0.063848495,-0.141644935,-0.157023338,-0.106037353,-0.293634928,-0.022653824,-0.019005161,-0.100445344,-0.143373266,-0.196045829
AT1G01320,0.005069011,0.199660582,0.12795818,0.04779148,-0.137266559,0.024865491,0.180671792,-0.092728891,-0.031040985,0.092292171
AT1G01340,0.031774798,-0.044355325,-0.234008259,0.071469469,-0.260836332,0.017123022,0.068223165,-0.094669449,0.173782589,-0.362362352
AT1G01350,-0.067678948,-0.062779667,-0.119452871,-0.102552554,-0.30237163,0.04351538,0.018460441,0.011852061,-0.015609884,0.041184471
AT1G01360,0.154267461,0.151211868,0.012081102,-0.065375459,-0.007428722,0.203404151,0.074654705,0.094259189,-0.11439067,-0.077920855
AT1G01370,-0.140264002,-0.135072956,-0.103214232,-0.066310973,0.02726488,-0.089419421,-0.17536263,-0.166117589,-0.211503577,-0.054062154
AT1G01380,-0.050907523,-0.131472252,-0.137516224,-0.345522553,-0.597616604,-0.020700766,-0.294634681,-0.241720558,-0.03703557,-0.220375066
AT1G01420,0.252604166,0.198393497,0.07607131,-0.299913043,-0.234975639,0.325772036,0.041082888,0.07495853,-0.317381177,-0.12392331
AT1G01430,0.02812195,-0.014644939,-0.197690684,-0.324025828,-0.354534461,0.122359109,-0.05140642,-0.118673847,-0.466322448,-0.16324106
AT1G01440,0.102659345,-0.012501048,0.054403629,-0.065416092,-0.105521808,0.022564102,0.080431192,-0.042533116,0.036279791,-0.063359148
AT1G01448,0.298705445,0.032227934,0.004557082,-0.143119979,-0.315008198,0.089194664,0.088217343,0.061504248,-0.147761114,-0.178085045
AT1G01453,0.010182795,0.472399524,0.516471567,0.003729351,0.481336238,0.270061038,-0.029964592,0.219084265,-0.47507437,-0.081349483
AT1G01470,-0.069995256,-0.153445747,-0.226805516,-0.299093814,-0.012591347,0.153185718,-0.189571494,-0.034505594,0.023020206,0.15591988
AT1G01480,-0.050958662,0.026308675,-0.045235586,0.072557956,-0.134264674,-0.024164819,0.019681995,-0.007849789,0.746294557,-0.098308633
AT1G01490,0.003049846,0.184887739,0.065932789,-0.05993353,-0.1407835,-0.125355491,0.049516705,0.036091209,-0.341433306,-0.147139504
AT1G01500,0.042253996,-0.026383017,-0.121995106,-0.008141947,0.195342902,-0.067226634,0.021771211,-0.150453394,0.156382384,0.099008419
AT1G01510,0.076191089,0.03192272,0.029844657,0.020139547,-0.23292229,-0.008477906,0.044766255,-0.013582795,0.073287353,-0.12146725
AT1G01540,0.114479435,0.02067832,0.167263685,-0.276505546,-0.387490136,-0.09997378,0.054996118,-0.230262226,-0.245247041,-0.204173013
AT1G01550,-0.05814244,-0.035546283,-0.067313805,-0.057192445,0.054342894,-0.016037043,0.076195678,0.083829958,0.130063775,0.05462139
AT1G01560,-0.001747998,0.009270392,0.014144289,0.065038515,0.114776562,-0.043729154,-0.022263841,0.076193767,0.907676788,0.182765717
AT1G01570,0.054142152,0.07108764,0.022679577,0.136937741,-0.061312302,-0.068596631,-0.028494105,0.033311774,0.418118959,0.030089466
AT1G01580,-0.353159262,-0.419790995,-0.90946783,-0.950838074,-0.98000849,-0.847105265,-0.580445519,-0.81077919,-0.99706554,-0.995773755
AT1G01600,-0.035060722,-0.167644543,-0.170225387,0.025920107,-0.005934668,-0.073053328,-0.089681271,-0.142932038,0.601041262,0.059703076
AT1G01610,0.097981264,-0.090313344,-0.132464008,-0.042505426,-0.106914706,0.061216259,-0.021876887,0.064955894,0.710210162,0.089177166
AT1G01620,-0.08739995,-0.006845287,-0.097070763,-0.063178931,0.210222106,0.139889702,-0.154897759,-0.188674918,-0.207696693,0.18662016
AT1G01630,-0.032775321,0.075899813,-0.043944792,-0.156977733,-0.045356925,-0.077690741,-0.065996189,-0.156204108,-0.394463003,-0.071211619
AT1G01640,-0.121679057,-0.177935392,-0.216256571,-0.13258172,-0.167576129,-0.106457746,-0.317345934,-0.381385032,-0.194398794,-0.292763382
AT1G01650,-0.103547087,-0.218403965,-0.169373613,-0.078255409,-0.005631347,-0.207906848,-0.333161032,-0.338208048,-0.051043822,-0.118153408
AT1G01660,0.237232003,0.364833105,0.336931652,0.08923733,-0.029956396,0.080850042,0.043469255,0.06721789,-0.671776236,-0.261546052
AT1G01670,0.158500309,0.086540239,0.393934896,0.245316108,0.233010503,0.28186974,0.025991285,0.036397891,-0.114153986,0.058233216
AT1G01690,-0.090589001,0.009748711,0.045440425,0.024114637,-0.069276789,0.053640042,0.013359463,-0.052256289,-0.085031733,-0.025701252
AT1G01700,0.138853447,-0.099818225,0.045694851,-0.038482129,-0.252131415,-0.016188549,0.033481969,-0.140040689,0.212737716,-0.357038451
AT1G01710,-0.001212461,-0.040809313,-0.024630274,0.127236904,0.084118641,0.021095084,0.016986637,0.042992992,0.283562657,0.146331456
AT1G01715,-0.035988096,-0.055281053,-0.041756309,0.100390576,-0.074870134,0.171114303,0.302764836,0.097095855,-0.00519788,-0.112760936
AT1G01720,-0.043796288,0.001689593,0.082124675,0.166320207,0.437570098,-0.030874657,-0.016157079,0.081312665,0.74668802,0.372838972
AT1G01725,-0.10721222,-0.136296655,-0.152493256,-0.373445256,0.099748956,0.109791367,-0.128241384,0.086777724,-0.243158633,0.017104144
AT1G01730,-0.121401645,-0.13509882,-0.08430228,-0.128423302,0.102431292,0.041431989,-0.043022398,0.057004022,0.059553055,0.107657277
AT1G01740,0.016420499,-0.018653427,-0.061872326,-0.026369451,-0.218956553,0.12997194,-0.024607696,-0.091838401,0.035656484,-0.077096209
AT1G01750,0.075928044,0.301699343,0.301481381,-0.038273603,0.384512337,0.118805854,-0.103343437,0.082786414,-0.633483092,0.036163231
AT1G01760,0.161746061,0.02945808,0.338884945,0.043985488,0.007669862,-0.362979935,-0.098074216,-0.273777948,-0.324586212,-0.376339095
AT1G01770,0.237873283,0.091926588,0.265595184,0.190499707,0.074315346,0.034411997,0.045959726,-0.011854868,0.237357922,-0.042068944
AT1G01780,0.060024862,0.279284627,0.162734218,0.205100861,0.056614396,0.07284248,0.080207439,0.092849041,-0.398179132,-0.123319711
AT1G01790,-0.00685564,0.007945264,0.039394593,-0.11192575,-0.280610058,-0.037822965,0.120255944,-0.076048284,-0.218233925,-0.319853378
AT1G01800,-0.04207467,-0.025375192,-0.085259987,-0.171999302,0.1727957,-0.159133545,-0.261458268,-0.129435401,-0.327894605,0.007557095
AT1G01810,-0.220861817,-0.2495631,-0.125364866,-0.082376417,-0.055298544,-0.303034041,-0.652355012,-0.430894798,-0.600790827,-0.431406524
AT1G01820,0.035001165,-0.00218604,0.010163027,0.157935889,0.228332028,0.015123864,-0.038210556,0.050197178,0.078492198,0.091536719
AT1G01830,-0.010020282,0.018216854,-0.055686029,-0.258224646,-0.149055646,-0.185798532,-0.151405339,-0.025234415,-0.554592977,-0.174199596
AT1G01840,0.054064989,0.037188002,0.09659824,0.144739715,0.578236493,0.247563913,0.106601765,-0.183206903,-0.082320827,0.364560052
AT1G01860,0.318664383,0.249611756,0.686663542,0.790068199,0.196437865,-0.324572409,-0.160445723,-0.35574412,-0.343101496,-0.403756035
AT1G01880,-0.205237268,-0.21661457,-0.189814549,-0.043189673,0.228555089,0.010343392,-0.122686349,-0.297660741,0.067687586,-0.121606612
AT1G01900,0.054409356,0.059008068,0.273121226,-0.191049306,0.014864523,-0.057563228,-0.022260526,0.058140479,-0.002415553,0.091684866
AT1G01910,-0.09598655,-0.062507327,0.017485956,0.022585435,0.066047646,-0.067574016,-0.032300442,-0.059524302,-0.043007961,0.023576973
AT1G01920,0.187429065,-0.037173835,0.056707604,-0.027068534,-0.328705644,-0.034975997,0.060299838,0.056725311,-0.08349806,-0.305235719
AT1G01930,0.129061679,0.056917103,0.158995269,0.086440023,-0.046505326,0.029721321,0.076123678,0.066860735,0.190498566,0.137630792
AT1G01940,-0.117807518,-0.177989074,-0.110100938,-0.191876051,-0.076807486,0.006836337,-0.020195949,-0.005805006,-0.211974496,0.034477702
AT1G01950,-0.002139507,0.058046903,0.12742638,0.059802309,-0.249640957,-0.028105413,0.083587788,0.02516256,0.166200346,-0.167132156
AT1G01960,0.201949474,0.066070611,0.200873249,0.098960898,-0.218635005,0.043315939,0.124696824,0.069134519,0.088232083,-0.102210594
AT1G01970,-0.10856361,-0.009576539,-0.107400724,-0.0339919,-0.082373347,-0.005535044,0.05962179,-0.05573829,0.244169501,0.039150622
AT1G01990,0.090190067,0.004908797,-0.024897021,-0.006134617,0.005721557,0.104455967,0.07146449,0.118516131,0.039878038,-0.045772552
AT1G02000,0.057003525,0.16607707,0.129459153,0.125045505,0.112454473,-0.178249227,-0.103443876,0.070684171,0.164290848,-0.027687573
AT1G02010,0.089327558,0.034048446,0.245954697,0.095499803,-0.211707097,-0.006611439,-0.014382772,0.103671431,-0.02135425,-0.131753701
AT1G02020,0.083610913,-0.059508429,-0.011145648,-0.027273224,-0.091020003,-0.047055143,0.049533115,-0.021765291,0.248382623,-0.063096396
AT1G02030,-0.182874464,-0.178673416,-0.189451044,-0.365234609,-0.339313479,-0.383415181,0.252734911,0.069924979,-0.597375221,-0.503392508
AT1G02050,0.099122571,-0.085024025,-0.100020988,-0.032928747,-0.358038644,0.268809952,0.24286966,0.250048428,0.184933053,-0.051713709
AT1G02060,0.442920494,0.117179076,0.46880184,0.074088154,-0.120836782,-0.062859431,0.123014718,0.09664256,-0.115288256,-0.237534114
AT1G02080,0.177458226,0.039356344,0.282880151,0.076459534,-0.246383385,-0.015650196,0.190639421,0.075882985,0.154945577,-0.097810738
AT1G02090,-0.078258285,-0.056502687,-0.03336449,-0.041263354,0.05812148,-0.065120652,-0.05466106,-0.078737645,-0.053406666,0.026883449
AT1G02100,0.084917975,0.058468723,0.003744138,0.015705073,-0.024517018,-0.000882548,0.015342785,0.150071026,0.179784536,-0.012817508
AT1G02110,0.173166088,-0.055808578,0.001890625,-0.011949237,-0.372055345,0.018481588,0.105571355,0.014485759,0.138574029,-0.145418318
AT1G02120,0.159461024,0.079874638,0.120645405,0.052032688,-0.12876763,0.084756025,0.165837131,0.154112956,0.170861437,-0.03507322
AT1G02130,-0.099440011,-0.05145475,-0.069877739,0.01768593,0.180159811,0.076685611,-0.04437751,-0.027828127,0.106692957,0.149217168
AT1G02140,-0.096539805,-0.107593232,-0.123268034,-0.164947995,0.115101321,-0.03603513,-0.118864001,-0.12972152,-0.310740186,-0.061725445
AT1G02145,0.093672689,0.056841769,0.070728177,0.073712524,-0.040207882,0.011757853,0.094104209,0.083710556,0.032550469,-0.0767206
AT1G02150,0.006378772,-0.118963809,-0.102288609,-0.124628601,-0.15188452,0.114499926,0.049244427,0.097745213,-0.036009085,-0.049149592
AT1G02160,-0.099332959,-0.081212615,-0.013742624,-0.19522443,0.12554588,0.00826653,-0.091286091,-0.017336595,-0.207076506,0.154295946
AT1G02170,0.05394125,-0.016896429,-0.038819271,0.125138713,-0.038999383,0.100530518,0.119530341,0.09875362,0.470324702,0.142194961
AT1G02180,0.143065889,0.096415561,0.010503795,0.075957917,0.297809521,0.038152636,-0.0390317,0.059356643,0.018044679,-0.007017955
AT1G02220,-0.056512517,-0.170846188,-0.185656809,-0.129318209,-0.110332954,0.190333064,0.034009174,-0.005660738,0.668047222,0.040401
AT1G02230,-0.368428581,-0.049707833,-0.127482469,-0.487360964,-0.501750579,-0.227782393,0.089135387,-0.091511988,-0.291993784,-0.195682285
AT1G02260,0.145628616,0.010039402,0.040061594,-0.002668096,-0.260788617,0.009840539,0.092346286,0.129031105,0.035982882,-0.139967153
AT1G02270,-0.036732344,-0.0923568,-0.073601715,-0.016497521,-0.055450324,0.016582864,-0.053758274,-0.103415442,0.023275035,-0.003824278
AT1G02280,-0.146449342,-0.09884027,-0.210009516,-0.103504338,-0.165384059,0.036314286,-0.096684491,-0.178280588,-0.210926726,-0.112355841
AT1G02290,0.026065645,-0.07394453,-0.046443929,-0.067148594,-0.233044169,0.025231531,-0.030908883,0.098118916,0.00218435,-0.040019145
AT1G02300,0.170055826,0.136737649,0.172109443,0.081456345,0.315485606,0.136536181,-0.257769281,-0.140469009,-0.102167857,-0.174466943
AT1G02305,0.018828886,0.055685169,0.026532479,0.215441805,0.422569053,0.069857606,-0.062129102,0.099838759,0.428422329,0.453814108
AT1G02310,-0.065063064,-0.009385852,0.014969128,0.154289889,0.399492369,-0.045559602,0.015593027,0.029528803,0.828608393,0.556412625
AT1G02330,-0.121597164,-0.078578237,-0.204536633,-0.138842591,-0.248586987,-0.026600794,-0.05815923,-0.072132646,-0.200214116,-0.023167276
AT1G02335,-0.175163063,-0.122934557,-0.130787422,-0.065991705,-0.087651413,-0.043580313,0.125385143,0.118742364,0.291986079,0.255684247
AT1G02340,-0.06645404,0.241110633,0.063528758,-0.265441286,0.181770017,0.327230774,0.049344078,0.088098035,-0.200320434,0.019946257
AT1G02350,-0.111886379,-0.13732985,-0.018795609,0.227832462,0.04386399,0.055019211,0.144781458,-0.220125134,0.084182173,0.071501186
AT1G02360,-0.021696734,-7.13E-05,-0.057695739,0.066303931,0.330987109,-0.039293708,0.033468133,0.268094376,0.757956749,0.271132932
AT1G02370,-0.1498234,-0.081495091,-0.001528191,-0.062375678,-0.224850738,-0.13995681,-0.065195871,-0.175184407,-0.285212657,-0.166032326
AT1G02380,0.166870442,0.400190642,0.420395059,0.163289161,0.249347989,0.257038612,0.123475197,0.0850286,-0.124436194,-0.026331796
AT1G02390,-0.056352652,0.083390557,0.01001714,-0.197753509,0.056247855,0.060301575,-0.086236163,0.033453176,-0.038002426,0.034400024
AT1G02400,-0.123905269,-0.054620815,-0.128291616,-0.097085515,0.083037366,0.036935964,-0.018377024,0.06977528,0.34620869,0.025784504
AT1G02410,-0.067137982,-0.03033587,-0.070033101,0.023560026,0.087888426,-0.05800199,-0.066966099,-0.070497286,-0.069154934,-0.033615627
AT1G02420,0.063285721,-0.033116349,0.056716272,-0.067431912,0.047353481,-0.087835301,0.07013468,-0.165690436,-0.131131445,-0.066580934
AT1G02430,-0.001398841,-0.04764254,-0.048047104,0.356477292,0.256559347,-0.034905485,0.016860769,0.053190996,0.853199895,0.279500562
AT1G02460,-0.031156037,-0.139319641,-0.222336855,-0.3141546,-0.488282986,-0.153455984,-0.159234891,-0.081327414,-0.60569856,-0.239685677
AT1G02475,-0.058676748,0.045338731,-0.123540556,-0.037023054,0.108156434,0.235856386,0.048942776,0.036846038,0.238366324,0.180182885
AT1G02500,-0.138068874,-0.170307968,-0.261371785,-0.27346574,-0.103910344,-0.33579341,-0.290983386,-0.210248794,-0.015917215,-0.259120394
AT1G02520,0.003711993,-0.015390297,-0.00754207,0.241973084,0.113177849,-0.01652845,-0.003355871,0.032958067,0.921611974,0.196773496
AT1G02530,0.323045351,0.185777438,0.384863335,0.279779414,0.066158284,0.097462799,-0.033031504,0.041459549,0.235779334,-0.403029864
AT1G02560,-0.092196769,-0.021966029,-0.107960942,-0.058741194,0.043353167,-0.054370781,-0.104303687,-0.120526057,-0.176928507,0.047570494
AT1G02570,0.073713666,0.432948331,0.453942495,0.119022336,0.573414239,0.001828276,0.071558297,0.42403249,-0.353883239,0.223963989
AT1G02575,-0.031960378,0.094341244,0.016865239,-0.155419425,0.346748868,-0.254268109,-0.088264733,-0.176812838,-0.795395167,-0.01722562
AT1G02580,0.02505016,0.040051568,0.029837236,0.253659858,0.155115355,0.030898345,0.055102239,0.060946263,0.974151619,0.17747262
AT1G02610,0.128532513,0.322449469,0.253567002,0.227687124,0.478182205,0.10000155,0.084038935,0.140452047,0.320438254,0.103200391
AT1G02640,-0.020990422,0.09181098,-0.105158132,0.018104646,0.047508894,0.214838418,0.084463076,-0.160143189,-0.099501929,0.100964482
AT1G02650,-0.152257157,0.029165975,-0.19772611,0.275797252,-0.173712133,-0.197378363,-0.101389088,-0.116693364,0.34894597,-0.187593583
AT1G02660,-0.074164101,-0.059894627,0.001827425,0.103792512,0.176447941,0.017898219,0.071257899,0.178698585,0.773813258,0.429903594
AT1G02670,0.246215397,0.032098882,0.121586506,0.356155865,0.02252127,0.284950341,0.242043304,0.039791649,0.488710336,0.038835927
AT1G02680,-0.061647502,-0.038753296,-0.086469884,-0.102191181,0.043537257,0.020100871,-0.101568934,-0.081499401,-0.309125346,-0.023873577
AT1G02690,-0.095375394,-0.104944081,-0.024907441,-0.00163156,-0.152505043,-0.046982481,0.064340453,-0.064683895,-0.125165447,-0.105373555
AT1G02705,-0.392150128,-0.087578912,-0.204678722,-0.262905663,-0.257298305,-0.133027926,-0.115638356,0.17607081,-0.099460473,-0.039989564
AT1G02720,-0.066406984,-0.150203797,-0.181901847,-0.23977655,-0.399852508,0.107594406,-0.00906134,-0.138064049,-0.299638186,-0.318526985
AT1G02730,-0.05271523,-0.014511412,0.043011342,-0.070205641,-0.20353562,-0.088077006,0.065865949,-0.166091202,-0.034486139,-0.220539895
AT1G02740,-0.109544187,0.000661255,0.061453215,-0.083033252,0.033793088,-0.05749564,0.101552955,-0.168105404,-0.044035208,-0.198543077
AT1G02750,0.021161708,0.061643367,-0.007734428,0.105801021,0.189642769,-0.012988125,0.011086206,0.084956875,0.596687368,0.15810998
AT1G02780,-0.123103336,-0.091029303,-0.098163594,-0.189816486,-0.069742143,-0.078045795,-0.079123824,-0.12361493,-0.366650603,-0.131767296
AT1G02810,0.059706815,0.071147383,0.146389932,0.313405131,0.04947966,-0.16920719,-0.147605389,-0.114616314,-0.290155137,-0.153226814
AT1G02816,-0.102054095,0.062574521,0.119286813,-0.151796775,0.328710653,-0.021658079,-0.079407463,0.126312765,-0.254368811,0.200405997
AT1G02820,-0.352581265,-0.393375655,-0.304282458,-0.576628352,-0.602969399,0.008029745,0.17298193,-0.501570683,-0.704790789,-0.353157209
AT1G02840,0.129498856,-0.022596963,0.040936462,0.015522629,-0.09503541,0.049165444,0.087432069,0.115639586,0.140600439,-0.010059563
AT1G02850,0.061403645,-0.012779631,0.171474808,0.300928769,0.171340895,-0.013335012,0.048330632,0.159084968,0.865290512,0.231202144
AT1G02860,-0.148603411,-0.129077355,-0.195101255,-0.144950459,-0.361079907,-0.03100639,0.035463935,-0.182671344,-0.362263855,-0.338332277
AT1G02870,-0.119515591,-0.161013608,-0.194830646,-0.09774457,-0.074428042,-0.110126966,-0.110785793,-0.184953731,-0.336513734,-0.132596438
AT1G02880,-0.027897692,0.004106325,-0.001146129,0.059484851,0.199839221,-0.026965484,-0.020447498,0.063245496,0.34397696,0.183769896
AT1G02890,0.160112412,0.056515467,0.130413248,0.014660253,-0.258411326,0.010144045,0.245592979,0.188895354,0.105855973,-0.097299172
AT1G02900,-0.107468202,-0.126263598,-0.362074426,-0.479754518,-0.1320854,0.073969894,-0.098128519,-0.188461804,-0.629059408,-0.217056866
AT1G02910,-0.026103786,-0.02181673,-0.139374918,-0.055186899,-0.238285247,0.098371632,-0.011674059,-0.081087948,-0.059276552,0.000940957
AT1G02920,-0.00230725,0.004690241,-0.001154868,0.19872103,0.710302236,-0.013916646,-0.00788008,-0.010416666,0.966219468,0.398614686
AT1G02930,-0.00740095,-0.001771128,-0.003678915,0.177925217,0.616212263,-0.011306142,-0.009181666,-0.002504033,0.980043513,0.339524367
AT1G02950,-0.175440871,-0.04803617,-0.135396321,-0.162871467,-0.08703006,-0.131490594,-0.191085434,-0.32049142,-0.071238337,-0.111732503
AT1G02960,0.057001966,0.067990843,0.125652611,0.110453133,-0.138959776,0.148641423,0.040796392,0.037663879,0.039853347,-0.160804349
AT1G02970,-0.201442774,-0.015125279,-0.214114921,-0.14803211,-0.349543469,0.022542379,0.195865714,-0.056406552,-0.07653023,-0.097396149
AT1G02980,-0.059240274,0.005090365,0.025471705,-0.210378624,-0.496110552,0.037234426,-0.22002984,-0.333248304,-0.085700546,-0.40621663
AT1G02990,0.144997494,0.05364785,0.158889474,0.053310176,-0.139477298,-0.120494377,0.055137909,-0.012755329,0.038300259,-0.118088216
AT1G03000,0.221653173,0.005942189,0.194587565,0.118032916,-0.046643446,0.140221161,0.208760871,0.209340695,0.324201342,0.07684221
AT1G03010,0.072927155,0.150818734,0.019980804,0.111945362,0.086843714,-0.117894232,-0.034748312,0.241586255,0.269198734,0.111801119
AT1G03030,-0.011549006,-0.02028807,-0.00521537,-0.047375297,-0.050296991,-0.012176916,-0.159308455,0.044619681,-0.157325752,-0.165020379
AT1G03040,-0.058476203,-0.090171788,-0.109520414,-0.007536775,-0.386801314,-0.041091101,-0.096682584,-0.201589104,-0.191436333,-0.36128357
AT1G03060,0.224289692,0.022789605,0.246156562,-0.036971281,-0.304011147,0.009385132,0.15095299,0.023057452,-0.066198667,-0.156180368
AT1G03070,-0.19771133,-0.126647569,0.192034489,0.012915343,0.183451749,0.103218501,-0.051013552,0.269838199,-0.195846244,0.203095133
AT1G03080,0.053458083,-0.011993234,0.154009806,-0.143232615,-0.333058877,-0.142293593,0.042458631,0.105262172,-0.076248547,-0.14332356
AT1G03090,0.06980321,-0.007230761,0.130079409,0.075861406,0.055248862,0.224754143,0.034613492,0.095173691,0.190830372,-0.00054833
AT1G03100,0.060838725,0.032820403,0.08575982,0.206625744,-0.073603899,-0.055182462,0.157149344,-0.051115663,-0.194732158,-0.16863505
AT1G03110,0.00712082,0.004576573,0.009755335,0.107722717,0.028383052,-0.027182764,0.062292325,-0.129557597,-0.08676988,-0.009093426
AT1G03130,-0.0680081,0.657348736,-0.087925326,0.094576394,-0.179731846,0.152557738,0.271003394,0.059992988,0.012636481,0.021312187
AT1G03140,-0.048348297,-0.044217116,-0.04792699,-0.058281037,-0.063166683,-0.011132491,-0.099582204,-0.021808032,0.080621504,-0.00198803
AT1G03150,-0.109959063,-0.081802246,-0.113286913,-0.052397775,0.207214687,-0.071562954,-0.083292734,-0.039957803,-0.155247374,0.164231969
AT1G03160,0.070966921,0.052495284,0.072642829,0.133441427,-0.081577727,-0.101123863,0.007456958,0.004957761,0.105258152,-0.073794453
AT1G03180,-0.164434468,-0.005398366,0.020715034,0.020022388,0.023452063,-0.050716771,-0.128029955,-0.272491432,-0.093526789,-0.120135189
AT1G03190,0.088162262,0.017623495,0.138952119,0.196209226,0.02098332,-0.06361313,0.081108842,0.007335433,0.268938157,-0.062229035
AT1G03200,0.499267786,0.245330236,0.202973547,0.299526797,-0.056628715,-0.293478533,0.097195374,-0.000493228,0.128533093,-0.180892809
AT1G03210,0.088608115,0.069304148,0.008716669,-0.231073763,-0.11918432,0.147328192,-0.002758176,-0.010421141,-0.524215616,-0.128977654
AT1G03220,-0.01189322,-0.076499249,-0.106739907,0.06282296,0.209566589,0.039175507,8.26E-05,0.104441691,0.645414154,0.289170801
AT1G03230,-0.087675173,-0.186362886,-0.198043712,-0.212724682,-0.125308069,0.194539344,-0.019648883,-0.003571747,0.231730272,0.075443206
AT1G03250,0.023482499,-0.092820653,-0.074141024,0.031471808,0.074455133,0.155591531,-0.012586193,-0.002292502,0.263742166,0.077885344
AT1G03260,0.109363783,0.066333261,0.005875548,0.117345571,0.04509012,0.086734408,-0.012660057,-0.024173358,0.300181392,-0.003358515
AT1G03270,-0.053523235,0.041360822,0.093622941,0.046538377,-0.148464524,0.062610761,0.2606242,0.006650609,0.219683772,0.044096371
AT1G03280,-0.027791307,0.024110376,0.007303762,0.017723425,-0.056047123,0.056385547,0.092390315,0.040495365,0.048356442,0.040585404
AT1G03290,0.079993957,0.064995663,0.043203294,0.153213267,0.033228257,-0.075336525,-0.066652796,0.010058578,0.363514477,0.052046464
AT1G03300,0.245891241,0.091520945,-0.015306969,0.330704035,0.189055756,0.07392791,0.113330644,0.113120396,0.01648177,0.119485322
AT1G03310,0.076959606,0.075008059,0.055235961,0.101298951,-0.034273407,-0.277776833,-0.150567358,-0.173419882,-0.275182924,-0.206607984
