atID,-Pi_ph6,+Pi_ph5,-Pi_ph5,+Al,++Fe
AT1G20860|wt,0.46092037983929873,0,0,0,0
AT2G08820|wt,0.45069393718042366,0,0,0.4112490869247626,0
AT3G09922|wt,0.36742147552958365,0,0,0.21329437545653762,-0.15997078159240322
AT5G20150|wt,0.34989043097151207,0,0.22863403944485025,0.3016800584368152,0.09276844411979547
AT3G17790|wt,0.34696859021183346,0,0.2322863403944485,0.35719503287070853,0.2111029948867787
AT1G08165|wt,0.32432432432432434,0,0,0.18918918918918917,0
AT5G20790|wt,0.27757487216946675,0,0.10299488677867057,0.19065010956902848,0
AT1G17710|wt,0.266617969320672,0,0,0.3133674214755296,0
AT5G43370|wt,0.26296566837107377,0,0,0.154127100073046,0
AT5G53048|wt,0.26223520818115414,0,0,0.2008765522279036,0
AT3G47420|wt,0.25639152666179693,0,0.1701972242512783,0.23886048210372535,0.10737764791818846
AT4G01060|wt,0.254200146092038,0,0,0,0
AT2G30540|wt,0.2410518626734843,0,0,0.19503287070854639,0.39225712198685175
AT3G02040|wt,0.22863403944485025,0,0.12052593133674215,0.19357195032870708,0.06866325785244703
AT5G03545|wt,0.21329437545653762,0,0.12198685171658144,0.16946676406135866,0.056245434623813005
AT2G45130|wt,0.1848064280496713,0,0,0.15047479912344777,0
AT1G73010|wt,0.1789627465303141,0,0.08400292184075968,0.1877282688093499,0.061358655953250546
AT5G03985|wt,0.17677136596055515,0.15485756026296568,0.21037253469685901,0.40905770635500366,0.23301680058436816
AT2G38940|wt,0.1701972242512783,0,0.11029948867786706,0.1475529583637692,0.06866325785244703
AT4G31248|wt,0.1358655953250548,0,0.10956902848794742,0.15266617969320673,0.12490869247626005
AT4G00770|wt,0.13221329437545654,0,0,0.07669831994156319,0
AT4G03960|wt,0.11395178962746531,0,0,0.1110299488677867,0
AT3G05630|wt,0.11322132943754566,0,0.07742878013148284,0.07888970051132214,0
AT3G09875|wt,0.10445580715850986,0,0,0.127100073046019,0
AT4G30110|wt,0.09715120525931338,0,0,0,-0.26296566837107377
AT4G23000|wt,0.09569028487947408,0,0,0.10226442658875091,0
AT4G33030|wt,0.09569028487947408,0,0.04382761139517896,0.07304601899196494,0
AT3G52190|wt,0.09495982468955443,0,0,0.06720233747260775,0
AT5G41080|wt,0.09276844411979547,0,0,0.09642074506939373,0.048210372534696865
AT5G43350|wt,0.09130752373995618,0,0,0,0
AT4G15540|wt,0.08619430241051862,0,0,0.08181154127100074,0
AT2G14960|wt,0.08619430241051862,0,0,0.08108108108108109,0
AT1G05000|wt,0.08473338203067933,0,0.08546384222059898,0.14974433893352812,0.04747991234477721
AT4G25160|wt,0.08327246165084003,0,0.0620891161431702,0,0
AT5G62280|wt,0.08108108108108109,0,0.0635500365230095,0.05770635500365231,0.07742878013148284
AT5G47740|wt,0.07815924032140249,0,0,0,0
AT5G54490|wt,0.07742878013148284,0,0,0,0.10518626734842951
AT3G19970|wt,0.07596785975164354,0,0,0.07158509861212564,0.04674945215485756
AT2G26660|wt,0.07596785975164354,0,0,0.0635500365230095,0
AT4G12090|wt,0.0737764791818846,0,0,0,0
AT5G44130|wt,0.06720233747260775,0,0,-0.0650109569028488,0
AT4G35750|wt,0.0635500365230095,0,0,0.07304601899196494,0.07523739956172389
AT5G01220|wt,0.0635500365230095,0,0,0.050401753104455806,0
AT3G60550|wt,0.059167275383491605,0,0,0,0
AT3G02870|wt,0.05843681519357195,0,0,0.05770635500365231,0
