atID,-Pi_ph6/+Pi_pH6,+Pi_ph5/+Pi_pH6,-Pi_ph5/+Pi_pH6,+Al/+Pi_pH6,++Fe/+Pi_pH6
AT1G20860,0.4846390168970814,0,0,0,0
AT2G08820,0.4738863287250384,0,0,0.4324116743471582,0
AT3G09922,0.3863287250384025,0,0,0.22427035330261136,-0.16820276497695852
AT5G20150,0.36789554531490015,0,0.2403993855606759,0.3172043010752688,0.09754224270353302
AT3G17790,0.36482334869431643,0,0.24423963133640555,0.37557603686635943,0.2219662058371736
AT1G08165,0.34101382488479265,0,0,0.1989247311827957,0
AT5G20790,0.29185867895545314,0,0.10829493087557604,0.20046082949308755,0
AT1G17710,0.2803379416282642,0,0,0.3294930875576037,0
AT5G43370,0.2764976958525346,0,0,0.16205837173579107,0
AT5G53048,0.27572964669738864,0,0,0.21121351766513058,0
AT3G47420,0.2695852534562212,0,0.17895545314900155,0.2511520737327189,0.11290322580645161
AT4G01060,0.2672811059907834,0,0,0,0
AT2G30540,0.2534562211981567,0,0,0.20506912442396313,0.4124423963133641
AT3G02040,0.2403993855606759,0,0.12672811059907835,0.20353302611367127,0.07219662058371736
AT5G03545,0.22427035330261136,0,0.1282642089093702,0.1781874039938556,0.05913978494623656
AT2G45130,0.1943164362519201,0,0,0.15821812596006146,0
AT1G73010,0.18817204301075272,0,0.08832565284178187,0.19738863287250383,0.06451612903225806
AT5G03985,0.1858678955453149,0.16282642089093705,0.22119815668202764,0.43010752688172044,0.24500768049155147
AT2G38940,0.17895545314900155,0,0.11597542242703533,0.15514592933947774,0.07219662058371736
AT4G31248,0.14285714285714288,0,0.1152073732718894,0.16052227342549924,0.13133640552995393
AT4G00770,0.1390168970814132,0,0,0.08064516129032259,0
AT4G03960,0.11981566820276499,0,0,0.11674347158218126,0
AT3G05630,0.11904761904761905,0,0.08141321044546852,0.08294930875576037,0
AT3G09875,0.1098310291858679,0,0,0.1336405529953917,0
AT4G30110,0.10215053763440861,0,0,0,-0.2764976958525346
AT4G23000,0.10061443932411675,0,0,0.10752688172043011,0
AT4G33030,0.10061443932411675,0,0.04608294930875576,0.07680491551459294,0
AT3G52190,0.09984639016897082,0,0,0.07066052227342551,0
AT5G41080,0.09754224270353302,0,0,0.10138248847926268,0.05069124423963134
AT5G43350,0.09600614439324118,0,0,0,0
AT4G15540,0.09062980030721966,0,0,0.08602150537634409,0
AT2G14960,0.09062980030721966,0,0,0.08525345622119816,0
AT1G05000,0.0890937019969278,0,0.08986175115207373,0.15745007680491552,0.04992319508448541
AT4G25160,0.08755760368663594,0,0.065284178187404,0,0
AT5G62280,0.08525345622119816,0,0.06682027649769585,0.06067588325652842,0.08141321044546852
AT5G47740,0.08218125960061445,0,0,0,0
AT5G54490,0.08141321044546852,0,0,0,0.11059907834101382
AT3G19970,0.07987711213517666,0,0,0.07526881720430108,0.04915514592933948
AT2G26660,0.07987711213517666,0,0,0.06682027649769585,0
AT4G12090,0.07757296466973887,0,0,0,0
AT5G44130,0.07066052227342551,0,0,-0.06835637480798772,0
AT4G35750,0.06682027649769585,0,0,0.07680491551459294,0.07910906298003073
AT5G01220,0.06682027649769585,0,0,0.052995391705069124,0
AT3G60550,0.062211981566820285,0,0,0,0
AT3G02870,0.061443932411674354,0,0,0.06067588325652842,0
AT5G25460,0.06067588325652842,0.09293394777265745,0.1382488479262673,0.32027649769585254,0.12058371735791092
AT1G70900,0.06067588325652842,0,0,0.04531490015360983,0
AT5G20280,0.05990783410138249,0,0.06605222734254992,0.05683563748079877,0
AT3G04350,0.05913978494623656,0,0,0.03993855606758833,0
AT2G32960,0.0576036866359447,0,0,0.03993855606758833,-0.04761904761904762
AT2G27190,0.05683563748079877,0,0,0.07066052227342551,0
AT4G05390,-0.06451612903225806,-0.0629800307219662,-0.065284178187404,-0.1259600614439324,-0.14823348694316435
AT1G04770,-0.06912442396313365,0,0,0,0
AT5G02230,-0.07603686635944701,0,0,0,0
AT1G78050,-0.08218125960061445,0,-0.07142857142857144,-0.11443932411674347,-0.1443932411674347
AT5G52670,-0.08448540706605223,0,-0.0913978494623656,-0.18202764976958527,-0.13748079877112135
AT5G59490,-0.08832565284178187,0,0,0,0
AT1G70260,-0.09370199692780339,0,0,-0.17665130568356374,-0.19508448540706605
AT5G11920,-0.10215053763440861,-0.07526881720430108,-0.14592933947772657,0,-0.0522273425499232
AT2G02250,-0.10215053763440861,0,0,0,0
AT1G49000,-0.10675883256528418,0,-0.1152073732718894,0,0
AT1G15625,-0.10752688172043011,0,-0.10906298003072197,-0.10061443932411675,-0.0783410138248848
AT1G62280,-0.10752688172043011,0,0,-0.11597542242703533,0
AT4G10500,-0.10829493087557604,0,-0.1827956989247312,-0.09523809523809525,0
AT5G41290,-0.11981566820276499,-0.1282642089093702,-0.2964669738863287,-0.29109062980030725,-0.2380952380952381
AT3G49570,-0.15130568356374807,0.1259600614439324,0,0,0
AT5G62330,-0.15821812596006146,0,-0.15591397849462366,-0.18740399385560677,0
AT5G52720,-0.15898617511520738,0,-0.1566820276497696,-0.19815668202764977,-0.19738863287250383
AT5G44568,-0.17895545314900155,0,-0.16205837173579107,-0.18125960061443933,-0.27880184331797236
AT2G26400,-0.18894009216589863,0,-0.3294930875576037,-0.33947772657450076,-0.33870967741935487
AT1G78230,-0.19201228878648235,-0.17895545314900155,0,-0.2119815668202765,-0.17204301075268819
AT4G27850,-0.2089093701996928,-0.12903225806451613,-0.2296466973886329,-0.21658986175115208,-0.2380952380952381
AT2G37870,-0.25806451612903225,0,0,0,0.3133640552995392
AT3G16520,-0.261136712749616,0,0,0,0
AT1G15610,-0.2764976958525346,0,-0.6129032258064516,-0.6129032258064516,-0.3302611367127496
AT3G12230,-0.30568356374807987,0,-0.4162826420890937,-0.37788018433179726,-0.3433179723502304
AT5G47850,-0.44700460829493094,0,0,0,0.1382488479262673
AT3G46190,-0.44700460829493094,-0.22811059907834103,-0.43317972350230416,-0.32488479262672815,-0.2995391705069124
AT2G05100,0,0.39631336405529954,0,0,0
AT5G52390,0,0.3325652841781874,0.34639016897081415,0.43010752688172044,0.49462365591397855
AT1G23730,0,0.2818740399385561,0.2749615975422427,0.3064516129032258,0.3033794162826421
AT5G07570,0,0.2657450076804916,0.3863287250384025,0.6129032258064516,0.30261136712749614
AT5G48850,0,0.2142857142857143,0,0,0
AT3G08940,0,0.185099846390169,0,0,0
AT3G49580,0,0.1804915514592934,0,0,0
AT5G52320,0,0.14592933947772657,0.1966205837173579,0.21044546850998466,0.2350230414746544
AT5G50335,0,0.1443932411674347,0,0,0.1436251920122888
AT5G18910,0,0.1382488479262673,0,0.10368663594470047,0.12288786482334871
AT3G05400,0,0.12211981566820278,0,0,0
AT3G16530,0,0.12135176651305685,0.16973886328725038,0.445468509984639,0.39400921658986177
AT2G20520,0,0.11674347158218126,0.10291858678955454,0,0.09447004608294932
AT4G01830,0,0.11674347158218126,0.13133640552995393,0,0.08064516129032259
AT3G43930,0,0.10522273425499233,0,0,0
AT3G17600,0,0.10215053763440861,0.11059907834101382,0,0.06835637480798772
AT1G74830,0,0.10061443932411675,0.09216589861751152,0,0.06682027649769585
AT5G24570,0,0.09984639016897082,0,0,0
AT3G20460,0,0.09907834101382489,0.0890937019969278,0.05837173579109063,0
AT3G49960,0,0.0967741935483871,0.11597542242703533,0.12058371735791092,0.10522273425499233
AT3G60280,0,0.09216589861751152,0,0,0
AT5G22410,0,0.09216589861751152,0.09370199692780339,0,0.10675883256528418
AT5G04960,0,0.08986175115207373,0.09216589861751152,0.07603686635944701,0
AT1G34510,0,0.0890937019969278,0.08218125960061445,0,0.0913978494623656
AT3G15700,0,0.08755760368663594,0.07450076804915515,0,0.05990783410138249
AT1G51840,0,0.08755760368663594,0.17972350230414746,0.24116743471582183,0.06835637480798772
AT5G57530,0,0.08602150537634409,0.08448540706605223,0,0.07296466973886329
AT4G16370,0,0.08525345622119816,0,0,-0.1774193548387097
AT5G57540,0,0.08525345622119816,0.08678955453149001,0,0.09370199692780339
AT1G52660,0,0.08525345622119816,0.07680491551459294,0.07603686635944701,0.065284178187404
AT1G62422,0,0.0837173579109063,0.0783410138248848,0.1175115207373272,0.11443932411674347
AT3G29780,0,0.08218125960061445,0.10752688172043011,0.10906298003072197,0.07373271889400922
AT5G61650,0,0.08141321044546852,0,0,0.09062980030721966
AT2G46860,0,0.08141321044546852,0.08525345622119816,0,0.06989247311827958
AT5G43230,0,0.07987711213517666,0.08525345622119816,0,0
AT1G48930,0,0.07757296466973887,0.07603686635944701,0,0
AT5G61350,0,0.07680491551459294,0.06067588325652842,0,0
AT4G22080,0,0.07680491551459294,0.07987711213517666,0,0.0576036866359447
AT1G12950,0,0.07680491551459294,0.08986175115207373,0.054531490015360985,0.0445468509984639
AT3G23870,0,0.07603686635944701,0.07910906298003073,0.053763440860215055,0.05913978494623656
AT3G10710,0,0.07603686635944701,0.07526881720430108,0,0
AT2G44110,0,0.07450076804915515,0.06374807987711213,0,0
AT1G18420,0,0.07450076804915515,0.07526881720430108,0,0
AT4G00680,0,0.07450076804915515,0,0,0
AT5G38700,0,0.07373271889400922,0.10215053763440861,0.09754224270353302,0.1282642089093702
AT2G41380,0,0.07373271889400922,0.11904761904761905,0.2142857142857143,0.1804915514592934
AT5G46870,0,0.07142857142857144,0.06758832565284179,0,0
AT1G69240,0,0.06989247311827958,0.062211981566820285,0,0
AT4G31250,0,0.06989247311827958,0.061443932411674354,0,0
AT4G34580,0,0.06912442396313365,0.06067588325652842,0,0
AT1G19650,0,0.06912442396313365,0.07373271889400922,0.062211981566820285,0.06758832565284179
AT4G25820,0,0.06835637480798772,0,0,0
AT5G61550,0,0.06374807987711213,0,0,0
AT2G22470,0,0.06374807987711213,0.053763440860215055,0.04531490015360983,0.03993855606758833
AT5G03640,0,0.06374807987711213,0.06835637480798772,0,0
AT1G27200,0,0.062211981566820285,0.07142857142857144,0.13671274961597543,0.06067588325652842
AT1G30870,0,0.061443932411674354,0,0,0
AT2G45220,0,0.061443932411674354,0,0,0
AT2G41970,0,0.0576036866359447,0,0,0.04761904761904762
AT2G16980,0,0.0576036866359447,0.06682027649769585,0,0.07142857142857144
AT1G22530,0,0.0576036866359447,0,0,0
AT2G42840,0,-0.05913978494623656,-0.04992319508448541,0,0
AT2G39200,0,-0.06989247311827958,-0.16666666666666666,-0.06989247311827958,0
AT1G30990,0,-0.07987711213517666,-0.14669738863287252,-0.12672811059907835,-0.05913978494623656
AT1G78860,0,-0.08218125960061445,-0.1251920122887865,-0.08294930875576037,-0.1259600614439324
AT2G19060,0,-0.09062980030721966,-0.15053763440860216,-0.18202764976958527,-0.07910906298003073
AT5G49780,0,-0.09062980030721966,-0.11136712749615975,0,0
AT5G13400,0,-0.09062980030721966,0,0,0
AT4G25100,0,-0.0967741935483871,0,0,0
AT2G44370,0,-0.09907834101382489,-0.14592933947772657,0,0
AT4G14630,0,-0.10215053763440861,-0.17588325652841783,-0.08064516129032259,0
AT4G10510,0,-0.10291858678955454,-0.13748079877112135,0.16589861751152074,0.14055299539170507
AT3G25190,0,-0.10675883256528418,-0.18894009216589863,-0.1858678955453149,0
AT5G43520,0,-0.11059907834101382,-0.19124423963133644,-0.11367127496159754,-0.09523809523809525
AT5G59680,0,-0.11136712749615975,-0.20967741935483872,-0.16666666666666666,-0.07603686635944701
AT5G50200,0,-0.11213517665130568,-0.1566820276497696,-0.1804915514592934,-0.13133640552995393
